Unnamed: 0_level_0,Contrast,Cluster region,Cluster extent,Peak MNI coordniate,Peak MNI coordniate,Peak MNI coordniate,Z score
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
CA1,HC > IS,R SupraMarginal Gyrus,272.0,60,−27,39,4.61
,,R Postcentral Gyrus,,60,−15,36,3.16
,IS > HC,–,,,,,
,,,,,,,
CA2,HC > IS,R SupraMarginal Gyrus,676.0,54,−27,42,4.48
,,R Postcentral Gyrus,,54,−18,42,4.44
,,R SupraMarginal Gyrus,,42,–33,42,3.98
,,L Superior Parietal Lobule,416.0,−21,−57,48,3.88
,,L Inferior Parietal Lobule,,−39,−39,48,3.77
,,L Inferior Parietal Lobule,,−51,−30,39,3.73
,IS > HC,–,,,,,
,,,,,,,
CA3,HC > IS,R SupraMarginal Gyrus,386.0,51,−30,39,4.89
,,R Postcentral Gyrus,,57,−21,42,4.36
,,R Postcentral Gyrus,,42,−30,42,4.35
,,L Postcentral Gyrus,442.0,−27,−39,45,4.09
,,L Inferior Parietal Lobule,,−45,−39,51,3.94
,,L Inferior Parietal Lobule,,−48,−30,36,3.94
,IS > HC,Cerebellum,203.0,−6,–33,−15,4.2
,,Cerebellum,,9,−54,−18,3.98
,,Cerebellum,,3,−54,−24,3.95
,,,,,,,
DG,HC > IS,R Inferior Temporal Gyrus,133.0,54,−66,−3,4.68
,,R Inferior Temporal Gyrus,,48,−69,−12,4.06
,,R SupraMarginal Gyrus,563.0,60,−24,42,4.54
,,R SupraMarginal Gyrus,,51,–33,42,4.3
,,L Posterior-Medial Frontal,,0,−9,51,3.85
,,L Inferior Occipital Gyrus,128.0,−39,−72,−12,3.93
,,L Inferior Temporal Gyrus,,−45,−66,−6,3.62
,,L Inferior Temporal Gyrus,,−42,−48,−15,3.45
,,L Precuneus,279.0,−15,−57,63,3.56
,,L Postcentral Gyrus,,−51,−36,57,3.56
,IS > HC,Cerebellum,500.0,3,−54,−15,4.56
,,Cerebellum,,−6,−30,−15,4.39
,,Cerebellum,,6,−15,−12,4.29
,,,,,,,
EC,HC > IS,–,,,,,
,IS > HC,R Inferior Occipital Gyrus,91.0,30,−93,−3,3.99
,,R Inferior Occipital Gyrus,,36,−87,−3,3.94
,,L Lingual Gyrus,197.0,−3,−75,−6,3.69
,,Cerebellum,,9,−60,−15,3.59
,,Cerebellum,,3,−69,−12,3.58
,,,,,,,
HATA,HC > IS,L Inferior Parietal Lobule,500.0,−30,−57,39,4.63
,,L Inferior Parietal Sulcus,,−48,−30,36,4.26
,,L SupraMarginal Gyrus,,−60,−36,33,3.63
,,R SupraMarginal Gyrus,253.0,54,−18,27,3.9
,,R SupraMarginal Gyrus,,48,−30,39,3.78
,,R SupraMarginal Gyrus,,63,−21,30,3.56
,IS > HC,–,,,,,
,,,,,,,
Subculum,HC > IS,R SupraMarginal Gyrus,131.0,57,−27,42,4.27
,,R Postcentral gyrus,,57,−15,36,3.28
,IS > HC,–,,,,,
,,,,,,,
Conjunction analysis,HC > IS,R SupraMarginal Gyrus,253.0,36,−36,36,inf
Conjunction analysis,,R SupraMarginal Gyrus,,45,−30,36,7.48
Conjunction analysis,,R Postcentral gyrus,,60,−21,36,7.22
Conjunction analysis,,L Angular Gyrus,286.0,–33,−48,30,7.69
Conjunction analysis,,L Angular Gyrus,,–33,−48,42,7.47
Conjunction analysis,,L Superior Parietal Lobule,,−27,−72,51,7.09
Conjunction analysis,,R Angular Gyrus,72.0,27,−57,45,6.36
Conjunction analysis,,R Angular Gyrus,,36,−69,54,6.18
Conjunction analysis,,R Angular Gyrus,,33,−69,42,6.08
Conjunction analysis,IS > HC,Cerebellum,129.0,−3,−57,−9,inf
Conjunction analysis,,Cerebellum,,3,−54,−18,7.63
Conjunction analysis,,Cerebellum,,0,−72,−9,6.65
