Unnamed: 0,Unnamed: 1,Total Sample (n = 32),MCI (n = 16),CN (n = 16),Group Differences
,,Mean±SD,Mean±SD,Mean±SD,p
Demographics,,,,,
,Age (y),77.0±7.6,78.8±7.6,75.3±7.4,0.194
,"Female (n,%)",23 (71.8%),10 (43.5%),13 (56.5%),0.220F
,Education (y),15.8±2.2,15.0±2.1,16.6±2.0,0.128
,"APOE ɛ4 Carriers (n,%)",12 (37.5%),6 (37.5%),6 (37.5%),
Cardiorespiratory Fitness,,,,,
,Baseline V˙O2peak (ml/kg/min),19.0±4.3,18.5±4.1,19.6±2.0,0.444
Depression,,,,,
,Baseline GDS,4.4±3.1,5.6±3.6,3.1±1.8,0.056
Cognitive Function,,,,,
,Baseline DRS-2,35.7±1.3,35.3±1.6,36.1±0.7,0.079
Activities of Daily Living,,,,,
,Bassline Lawton ADL,4.7±0.4,4.6±0.4,4.7±0.4,0.780
