Baseline correlation with BDI in MDD,x,y,z,Cluster size,t-value
rsFC with aSCC,,,,,
Frontal_Inf_Tri_L (left lPFC),−44,42,8,158,t(29) = −4.515
rsFC with rACC,rsFC with rACC,rsFC with rACC,rsFC with rACC,rsFC with rACC,rsFC with rACC
Cerebelum_6_R,22,−56,−22,222,t(29) = 4.4831???
Frontal_Inf_Tri_L,−44,14,26,134,t(29) = −5.1965
Medial_Frontal_Gyrus (left dlPFC),−20,42,18,358,t(29) = −4.6662???
rsFC with BA25,,,,,
No suprathreshold clusters,,,,,
Change following CBT in MDD,x,y,z,Cluster size,t-value
rsFC with aSCC,rsFC with aSCC,rsFC with aSCC,rsFC with aSCC,rsFC with aSCC,rsFC with aSCC
Pre > post,Pre > post,Pre > post,Pre > post,Pre > post,
Precuneus_L,−14,−58,58,154(n.s.),t(18) = 6.9581???
Percent reduction in BDI (post–pre/pre),,,,,
No suprathreshold clusters,,,,,
rsFC with rACC,,,,,
Pre > post,,,,,
Paracentral_Lobule_L,−14,−32,66,203,t(18) = 5.7033???
Percent reduction in BDI,,,,,
No suprathreshold results,,,,,
rsFC with BA25,,,,,
Pre > post,,,,,
Paracentral_Lobule_R,4,−38,70,171,t(18) = 5.8974
Pre > post ~ change in BDI,,,,,
No suprathreshold results,,,,,
