Unnamed: 0_level_0,NM-NC,GBA-NMC,LRRK2-NMC,p value,Post-hoc comparisons,Post-hoc comparisons,Post-hoc comparisons
Unnamed: 0_level_1,NM-NC,GBA-NMC,LRRK2-NMC,p value,NM-NC vs. GBA-NMC,NM-NC vs. LRRK2-NMC,GBA-NMC vs. LRRK2-NMC
a. DaT- SBR,a. DaT- SBR,a. DaT- SBR,a. DaT- SBR,a. DaT- SBR,a. DaT- SBR,a. DaT- SBR,a. DaT- SBR
L Caudate,3.21 ± 0.38,3.21 ± 0.53,3.07 ± 0.46,0.481a,–,–,–
R Caudate,3.17 ± 0.38,3.08 ± 0.52,3.07 ± 0.45,0.62a,–,–,–
L Putamen,3.50 ± 0.44,3.48 ± 0.52,3.30 ± 0.50,0.31a,–,–,–
R Putamen,3.39 ± 0.34,3.36 ± 0.52,3.08 ± 0.40,0.028a,–,0.037b,–
Caudate asymmetry [%],3.68 ± 3.96,5.44 ± 4.91,5.38 ± 4.63,0.51a,–,–,–
Putamen asymmetry[%],6.41 ± 4.88,6.24 ± 5.46,9.35 ± 10.15,0.24a,–,–,–
b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC,b. rs-fMRI-FC
L Caudate,3.12 ± 1.01,2.92 ± 0.85,3.87 ± 2.57,0.15a,–,–,–
R Caudate,3.12 ± 1.01,2.82 ± 0.85,3.72 ± 2.37,0.14a,–,–,–
L Putamen,2.61 ± 1.24,2.04 ± 0.82,3.04 ± 2.32,0.12a,–,–,–
R Putamen,2.33 ± 1.22,1.84 ± 0.88,2.93 ± 2.11,0.05a,–,–,0.05b
