Unnamed: 0,Scores,Rocca et al. (???),Barghi et al. (???)???,Bonzano et al. (???),Bonzano et al. (???)???,Boffa et al. (???),Stellmann et al. (???)???,Tavazzi et al. (???),Kjolhede et al. (???)???,Prosperini et al. (???),Fling et al. (???)???,Prochazkova et al. (???) ???
Study quality,Eligibility criteria,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
,Randomization,1/1,1/1,1/1,1/1,0/1,1/1,0/1,1/1,1/1,0/1,1/1
,Allocation concealment,0/1,0/1,0/1,0/1,0/1,1/1,0/1,1/1,0/1,1/1,0/1
,Similarity at baseline,1/1,1/1,1/1,1/1,0/1,1/1,NA/1,1/1,0/1,1/1,0/1
,Blinding of assessors,1/1,0/1,1/1???,1/1,1/1???,1/1,1/1,0/1,1/1???,1/1,0/1???
Study reporting,Outcome measures (85% patients),1/3,2/3,1/3,2/3,1/3,2/3,2/3,2/3,2/3,2/3,1/3
,Intention to treat,0/1,0/1,0/1,0/1,0/1,1/1,0/1,1/1,0/1,1/1,0/1
,Between group statistical comparison,2/2,1/2,2/2,1/2,2/2,2/2,NA/2,2/2,1/2,2/2,2/2
,Point measure and measure of variability,1/1,0/1,1/1,0/1,1/1,0/1,1/1,1/1,1/1,1/1,1/1
,Activity monitoring in the control group???,1/1,1/1,1/1,1/1,1/1,0/1,0/1,0/1,0/1,0/1,1/1
,Increased exercise intensity,0/1,1/1,0/1,0/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
,Exercise parameters,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
,Total score,10/15???,8/15???,10/15,9/15,9/15???,12/15???,7/15,12/15???,9/15???,12/15,9/15
