Variable,Total N = 35,PLWH N = 18,w/out HIV N = 17
Age (mean ± stdev),57.2 ± 4.6,55.6 ± 3.9,57.9 ± 5.3
Current gender identity (%),Current gender identity (%),Current gender identity (%),Current gender identity (%)
Male,60.0%,55.6%,64.7%
Female,37.1%,38.9%,35.3%
Transgender,2.9%,5.6%,0%
Race (%),Race (%),Race (%),Race (%)
Caucasian,20.0%,22.2%,17.6%
Black,74.3%,77.8%,70.6%
American Indian/Alaska Native,0%,0%,0%
Native Hawaiian/Pacific Islander,0%,0%,0%
Asian,0%,0%,0%
Multi-racial,5.7%,0%,11.8%
Ethnicity (%),Ethnicity (%),Ethnicity (%),Ethnicity (%)
Hispanic,14.3%,11.1%,17.6%
Non-Hispanic,85.7%,88.9%,82.4%
Education level (%),Education level (%),Education level (%),Education level (%)
Did not finish high school,28.6%,33.3%,23.5%
High school,34.3%,22.2%,47.1%
Greater than high school,37.1%,44.4%,29.4%
HIV disease duration (years),–,18.82 (12.4),–
Viral load (≥40 copies/mL),–,0.24 (0.44),–
CD4 Count (cells/μL),–,600.28 (345.5),–
Currently taking HIV antiretroviral medication,–,100%,–
Ever diagnosed with AIDS,0%,22.2%,0%
Years since first regular alcohol usea,37.74 (7.80),36.44 (6.75),39.12 (8.78)
TLFB-30 pre-CM (mean ± stdev),8.44 (3.99),8.53 (4.50),8.35 (3.50)
TLFB-30 post-CM (mean ± stdev),0.76 (1.62),1.23 (2.14),0.27 (0.44)
TLFB-30 percent reduction (mean ± stdev),89.4% (20.1),82.9% (26.2)*,96.3% (6.1)
TAC-AUC pre-CM (mean ± stdev),27.50 (27.2),24.51 (28.0),30.67 (26.9)
TAC-AUC post-CM (mean ± stdev),6.16 (13.2),5.95 (14.1),6.39 (12.6)
TAC-AUC percent reduction (mean ± stdev),60.5% (93.3),45.5% (114.3),75.5% (66.7)
