Unnamed: 0,Total sample (n = 333),Low Aβ (n = 154),Intermediate Aβ (n = 153),Positive Aβ (n = 26),P-value???
"Age, mean (SD), y",64.14 (3.37),63.76 (3.54),64.40 (3.19),64.83 (3.27),0.14
"Sex, Women, N (%)",237 (71.17),86 (55.84),132 (28.27),19 (73.08),<0.0001
"Education, mean (SD), y",10.51 (3.95),10.48 (3.77),10.34 (4.15),11.62 (3.80),0.31
"Ethnicity, N (%)",,,,,0.76
Dominican,286 (85.88),132 (85.71),134 (87.58),20 (76.92),
Other Caribbean Hispanic,20 (6.0),9 (5.84),8 (5.23),3 (11.54),
South American,17 (5.10),9 (5.84),6 (3.92),2 (7.69),
Central American,4 (1.20),1 (0.65),3 (1.96),0 (0),
Unspecified Hispanic,3 (0.90),2 (1.30),1 (0.65),6 (23.08),
"Spanish speakers, N (%)",312 (93.69),144 (93.51),144 (94.12),24 (92.31),0.93
"APOE-ε4 carriers, N (%)a",117 (35.13),40 (25.97),56 (36.60),21(80.77),<0.0001
