Unnamed: 0_level_0,Slow‐2 band,Slow‐2 band,Slow‐2 band,Slow‐2 band,Slow‐3 band,Slow‐3 band,Slow‐3 band,Slow‐3 band
Unnamed: 0_level_1,Cluster (AAL)???,Peak (MNI),Size,Peak intensity,Cluster (AAL)???,Peak (MNI),Size,Peak intensity
ALFF,cluster1,−60 −51 39,25.0,−5.8654,cluster1,−42 −51 21,60.0,−5.3433
,Parietal_Inf_L,,14.0,,Temporal_Mid_L,,12.0,
,SupraMarginal_L,,6.0,,SupraMarginal_L,,12.0,
,,,,,Angular_L,,4.0,
,,,,,Parietal_Inf_L,,4.0,
,,,,,cluster2,−33 −45 33,37.0,−5.3631
,,,,,Postcentral L,,4.0,
fALFF,cluster1,45 −87 −6,32.0,−4.6702,cluster1,−12 36 0,68.0,−5.4545
,Occipital_Inf_R,,15.0,,Insula_L,,10.0,
,Occipital_Mid_R,,11.0,,Caudate_L,,6.0,
,Temporal_Mid_R,,3.0,,Putamen_L,,5.0,
,cluster2,−27 −63 57,25.0,−5.3274,,,,
,Parietal_Sup_L,,25.0,,,,,
PerAF,,,,,cluster1,57 6 21,75.0,−5.2406
,,,,,Frontal_Inf_Tri_R,,31.0,
,,,,,Frontal_Inf_Oper_R,,28.0,
,,,,,Precentral_R,,9.0,
,,,,,cluster2,30 36 18,39.0,−4.8035
,,,,,Frontal_Mid_R,,4.0,
,,,,,Cingulum_Ant_R,,4.0,
Wavelet‐ALFF,cluster1,−42 −45 24,60.0,−4.6977,cluster1,−42 −51 21,47.0,−5.058
,Temporal_Mid_L,,19.0,,Temporal_Mid_L,,11.0,
,SupraMarginal_L,,10.0,,SupraMarginal_L,,10.0,
,Temporal_Sup_L,,8.0,,Parietal_Inf_L,,5.0,
,Parietal_Inf_L,,5.0,,Angular_L,,4.0,
,Angular_L,,4.0,,cluster2,−30 −45 30,32.0,−5.5499
,cluster2,−30 −45 30,42.0,−5.1976,Postcentral_L,,4.0,
,Postcentral_L,,5.0,,,,,
,Parietal Inf L,,3.0,,,,,
ReHo,cluster1,−48 −60 6,25.0,−5.1417,cluster1,69 −21 −27,36.0,4.8644
,Temporal_Mid_L,,24.0,,Temporal_Inf_R,,20.0,
,cluster2,33 −36 30,28.0,−5.858,Temporal_Mid_R,,8.0,
,White Matter,,,,Fusiform_R,,3.0,
,Parietal lobe,,19.0,,,,,
,Frontal lobe,,9.0,,,,,
,Inferior Parietal Lobule,,6.0,,,,,
DC,cluster1,60 −36 45,43.0,−5.269,cluster1,6 −51 39,146.0,−5.5421
,SupraMarginal_R,,37.0,,Precuneus_L,,71.0,
,Parietal_Inf_R,,3.0,,Precuneus_R,,69.0,
,,,,,Cingulum_Mid_L,,3.0,
,,,,,cluster2,−9 −57 54,42.0,−5.1327
,,,,,Precuneus_L,,38.0,
,,,,,Precuneus_R,,4.0,
