No.,Region of Interest,Abbr.,No..1,Region of Interest.1,Abbr..1,No..2,Region of Interest.2,Abbr..2
1,Banks superior temporal sulcus,BANK,14,Parahippocampal gyrus,PHG,27.0,Superior parietal cortex,SPC
2,Caudal anterior cingulate cortex,CauACC,15,Paracentral lobule,PCL,28.0,Superior temporal gyrus,STG
3,Caudal middle frontal gyrus,CauMFG,16,Pars opercularis,ParsOPE,29.0,Supramarginal gyrus,SMG
4,Cuneus cortex,CUN,17,Pars orbitalis,ParsORB,30.0,Transverse temporal cortex,TTC
5,Fusiform gyrus,FFG,18,Pars triangularis,ParsTRI,31.0,Insula,INS
6,Inferior parietal cortex,IPC,19,Pericalcarine cortex,PCAL,32.0,Thalamus,THA
7,Inferior temporal gyrus,ITG,20,Postcentral gyrus,PoCG,33.0,Caudate,CAU
8,Isthmus-cingulate cortex,ICC,21,Posterior cingulate cortex,PCC,34.0,Putamen,PUT
9,Lateral occipital cortex,LatOC,22,Precentral gyrus,PreCG,35.0,Pallidum,PAL
10,Lateral orbitalfrontal cortex,LatOFC,23,Precuneus gyrus,PCUN,36.0,Hippocampus,HIP
11,Lingual gyrus,LING,24,Rostral anterior cingulate cortex,RosACC,37.0,Amygdala,AMYG
12,Medial orbitalfrontal cortex,MedOFC,25,Rostral middle frontal gyrus,RosMFG,38.0,Accumbens,ACCU
13,Middle temporal gyrus,MTG,26,Superior frontal gyrus,SFG,,,
