Unnamed: 0_level_0,BL2,T3,T4,BL2 versus T3,BL2 versus T3,T3 versus T4,T3 versus T4
Unnamed: 0_level_1,BL2,T3,T4,p,d,p,d
A (WM + MSL),A (WM + MSL),A (WM + MSL),A (WM + MSL),A (WM + MSL),A (WM + MSL),A (WM + MSL),A (WM + MSL)
PASAT,52.17 ± 8 0.2,54.39 ± 7.52,55.94 ± 6.66,.088,.28,.144,.22
SDMT,69.17 ± 13.50,76.00 ± 17.59,78.44 ± 15.26,.007*,.39,.099,.01
Corsi Block,17.17 ± 4.25,16.89 ± 4.71,17.33 ± 4.52,.790,.06,.260,.09
Digit Span,16.56 ± 2.83,17.33 ± 3.18,17.61 ± 3.42,.181,.26,.472,.08
9HPT right,16.99 ± 1.78,16.81 ± 1.97,16.06 ± 1.77,.660,.09,.116,.34
9HPT left,17.57 ± 2.48,17.95 ± 2.67,18.05 ± 2.70,.563,.15,.854,.04
B (MSL + WM),B (MSL + WM),B (MSL + WM),B (MSL + WM),B (MSL + WM),B (MSL + WM),B (MSL + WM),B (MSL + WM)
PASAT,54.22 ± 4.31,52.00 ± 11.94,56.11 ± 5.65,.435,.24,.114,.40
SDMT,68.44 ± 14.61,75.67 ± 17.73,80.83 ± 18.20,.003*,.42,.006*,.29
Corsi Block,16.00 ± 4.39,16.89 ± 4.60,17.39 ± 4.92,.187,.19,.276,.10
Digit Span,15.67 ± 2.93,15.28 ± 3.12,16.56 ± 2.94,.537,.13,.032*,.42
9HPT right,16.72 ± 2.14,16.75 ± 1.69,16.19 ± 1.74,.948,.01,.093,.32
9HPT left,18.07 ± 1.90,18.03 ± 1.83,17.60 ± 1.31,.899,.02,.237,.26
C (WM × MSL),C (WM × MSL),C (WM × MSL),C (WM × MSL),C (WM × MSL),C (WM × MSL),C (WM × MSL),C (WM × MSL)
PASAT,53.78 ± 7.80,56.39 ± 3.99,–,.041*,.30,–,
SDMT,73.28 ± 17.79,76.50 ± 17.34,–,.127,.18,–,
Corsi Block,16.28 ± 3.56,15.39 ± 4.09,–,.311,.23,–,
Digit Span,16.67 ± 3.05,17.28 ± 3.16,–,.232,.19,–,
9HPT right,17.11 ± 1.89,16.92 ± 2.21,–,.595,.09,–,
9HPT left,17.19 ± 1.92,17.09 ± 2.11,–,.800,.05,–,
