Unnamed: 0,Connections,T value,Δr
1,Right superiorfrontal 2 – right inferiorparietal,4.3,0.17
2,Right inferiorparietal 6 – right temporalpole 1,4.2,0.15
3,Right inferiorparietal 6 – right_middletemporal 3,4.5,0.16
4,Right inferiorparietal 6 – right_middletemporal 4,4.2,0.18
5,Right inferiorparietal 6 – right hippocampus,4.6,0.18
6,Right bank-STS 1 – right amygdala,4.6,0.17
7,Right inferiorparietal_6 – left medialorbitofrontal 2,4.4,0.13
8,Right insula 1 – left parsopercularis 2,4.5,0.14
9,Right hippocampus – left parsopercularis 2,4.2,0.13
10,Right amygdala – left parsopercularis 2,4.9,0.16
11,Right superiorparietal 2 – left precentral 1,4.1,0.11
12,Right supramarginal 1 – left precentral 6,4.1,0.15
13,Right superiorparietal 1 – left precentral 6,4.0,0.14
14,Left precentral 6 – left supramarginal 2,4.0,0.14
15,Left precentral 6 – left superiorparietal 2,4.4,0.14
16,Right inferiorparietal 5 – left middletemporal 4,4.3,0.14
17,Right inferiorparietal 6 – left middletemporal 4,4.2,0.17
18,Right postcentral 4 – left bank-STS1,4.1,0.17
19,Right postcentral 4 – left bank-STS 2,4.2,0.17
20,Right supramarginal 4 – left bank-STS 2,4.5,0.18
21,Right superiorparietal 1 – left bank-STS 2,4.4,0.19
22,Right superiorparietal 2 – left bank-STS 2,5.0,0.18
23,Right inferiorparietal 6 – left bank-STS 2,4.2,0.17
24,Right lingual 3 – left bank-STS 2,4.4,0.18
25,Right insula 1 – left bank-STS 2,4.8,0.17
26,Right amygdala – bank-STS 2,4.3,0.15
27,Left superiorparietal 1 – bank-STS 2,4.5,0.17
28,Right superiorfrontal 2 – left lobuleB 7,4.1,0.14
29,Right rostralanteriorcingulate 1 – left lobuleB 7,4.1,0.15
