Cingulo-Percular Network(n=32),Cingulo-Percular Network(n=32).1,Cluster 3 for the Static FC(n=23),Cluster 3 for the Static FC(n=23).1,Cluster 3 for the SampEn(n=27),Cluster 3 for the SampEn(n=27).1
ROI 8,ROI 61,,ROI 61,,ROI 61
ROI 18,ROI 71,,ROI 71,,ROI 71
ROI 19,ROI 76,,,ROI 19,
ROI 25,ROI 78,,ROI 78,ROI 25,ROI 78
ROI 26,ROI 80,ROI 26,,ROI 26,
ROI 27,ROI 81,ROI 27,,ROI 27,
ROI 28,ROI 87,ROI 28,ROI 87,ROI 28,ROI 87
ROI 30,ROI 89,ROI 30,ROI 89,ROI 30,ROI 89
ROI 31,ROI 95,ROI 31,ROI 95,ROI 31,ROI 95
ROI 33,ROI 97,ROI 33,ROI 97,ROI 33,ROI 97
ROI 38,ROI 100,ROI 38,,ROI 38,ROI 100
ROI 39,ROI 102,ROI 39,,ROI 39,
ROI 40,ROI 103,ROI 40,ROI 103,ROI 40,ROI 103
ROI 44,ROI 125,,ROI 125,,ROI 125
ROI 47,,ROI 47,ROI 32,,ROI 32
ROI 57,,ROI 57,ROI 34,ROI 57,ROI 34
ROI 58,,ROI 58,,ROI 58,ROI 35
ROI 59,,,,,ROI 37
