No.,Name,No..1,Name.1,No..2,Name.2,No..3,Name.3
1,vmPFC,41,pre-SMA,81,fusiform,121,inf cerebellum
2,aPFC,42,vFC,82,temporal,122,inf cerebellum
3,aPFC,43,SMA,83,temporal,123,temporal
4,mPFC,44,mid insula,84,fusiform,124,angular gyrus
5,aPFC,45,frontal,85,precuneus,125,TPJ
6,vmPFC,46,precentral gyrus,86,sup parietal,126,occipital
7,vmPFC,47,thalamus,87,precuneus,127,med cerebellum
8,aPFC,48,mid insula,88,IPL,128,lat cerebellum
9,vent aPFC,49,precentral gyrus,89,parietal,129,occipital
10,vent aPFC,50,parietal,90,post cingulate,130,med cerebellum
11,vmPFC,51,precentral gyrus,91,inf temporal,131,inf cerebellum
12,vlPFC,52,precentral gyrus,92,occipital,132,precuneus
13,vmPFC,53,precentral gyrus,93,post cingulate,133,occipital
14,ACC,54,parietal,94,precuneus,134,IPS
15,vlPFC,55,mid insula,95,temporal,135,occipital
16,dlPFC,56,mid insula,96,IPL,136,occipital
17,sup frontal,57,thalamus,97,parietal,137,occipital
18,vPFC,58,thalamus,98,lat cerebellum,138,med cerebellum
19,ACC,59,mid insula,99,post parietal,139,occipital
20,sup frontal,60,temporal,100,sup temporal,140,inf cerebellum
21,ACC,61,mid insula,101,IPL,141,occipital
22,dlPFC,62,parietal,102,angular gyrus,142,occipital
23,vPFC,63,inf temporal,103,temporal,143,med cerebellum
24,dlPFC,64,parietal,104,IPL,144,med cerebellum
25,vFC,65,parietal,105,precuneus,145,occipital
26,ant insula,66,parietal,106,occipital,146,occipital
27,dACC,67,precentral gurus,107,IPL,147,occipital
28,ant insula,68,temporal,108,post cingulate,148,occipital
29,dFC,69,parietal,109,lat cerebellum,149,occipital
30,basal ganglia,70,post insula,110,inf cerebellum,150,inf cerebellum
31,mFC,71,basal ganglia,111,post cerebellum,151,inf cerebellum
32,frontal,72,inf temporal,112,precuneus,152,post occipital
33,vFC,73,post cingulate,113,lat cerebellum,153,post occipital
34,dFC,74,parietal,114,IPS,154,post occipital
35,dFC,75,parietal,115,post cingulate,155,inf cerebellum
36,dFC,76,post insula,116,IPS,156,post occipital
37,vFC,77,parietal,117,angular gyrus,157,post occipital
38,basal ganglia,78,temporal,118,occipital,158,post occipital
39,basal ganglia,79,post parietal,119,occipital,159,post occipital
40,vFC,80,post cingulate,120,med cerebellum,160,post occipital
