Index,Region,Hemisphere
AAL91,Cerebellar hemispheric crus I,L
AAL92,Cerebellar hemispheric crus I,R
AAL93,Cerebellar hemispheric crus II,L
AAL94,Cerebellar hemispheric crus II,R
AAL95,Cerebellar hemispheric III,L
AAL96,Cerebellar hemispheric III,R
AAL97,Cerebellar hemispheric IV-V,L
AAL98,Cerebellar hemispheric IV-V,R
AAL99,Cerebellar hemispheric VI,L
AAL100,Cerebellar hemispheric VI,R
AAL101,Cerebellar hemispheric VIIb,L
AAL102,Cerebellar hemispheric VIIb,R
AAL103,Cerebellar hemispheric VIII,L
AAL104,Cerebellar hemispheric VIII,R
AAL105,Cerebellar hemispheric IX,L
AAL106,Cerebellar hemispheric IX,R
AAL107,Cerebellar hemispheric X,L
AAL108,Cerebellar hemispheric X,R
AAL109,Cerebellar vermal I and II,-
AAL110,Cerebellar vermal III,-
AAL111,Cerebellar vermal IV-V,-
AAL112,Cerebellar vermal VI,-
AAL113,Cerebellar vermal VII,-
AAL114,Cerebellar vermal VIII,-
AAL115,Cerebellar vermal IX,-
AAL116,Cerebellar vermal X,-
