Target region,MNI center,t,Uncorrected,FDR-corrected
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,p-value,p-value
Left accumbens,"(−9,11,−7)",,,
Left caudate,"(−13,9,10)",11.08,0.0,0.0
Right accumbens,"(9,12,−7)",8.18,0.0,0.0
Subcallosal cortex,"(−0,21,−15)",7.61,0.0,0.0
Right caudate,"(13,10,10)",7.53,0.0,0.0
Right amygdala,"(23,−4,−18)",6.18,0.0,0.0
Right putamen,"(25,2,0)",5.86,0.0,0.0001
Left putamen,"(−25,0,0)",5.46,0.0,0.0002
Left amygdala,"(−23,−5,−18)",4.99,0.0,0.0006
Right inferior temporal gyrus,"(46,−2,−41)",4.71,0.0001,0.0011
Left pallidum,"(−19,−5,−1)",4.70,0.0001,0.0011
Right para hippocampal gyrus,"(22,−8,−30)",4.42,0.0002,0.002
Left superior frontal gyrus,"(−14,19,56)",4.38,0.0002,0.002
Right pallidum,"(20,−4,−1)",4.35,0.0002,0.002
Frontal medial cortex,"(0,43,−19)",4.25,0.0003,0.0025
Right inferior frontal gyrus,"(52,28,8)",−4.04,0.0004,0.0039
Right temporal fusiform cortex,"(−32,−4,−42)",3.97,0.0005,0.0044
Left temporal fusiform cortex,"(31,−3,−42)",3.92,0.0006,0.0047
Right accumbens,"(9,12,−7)",,,
Left accumbens,"(−9,11,−7)",8.18,0.0,0.0
Left caudate,"(−13,9,10)",7.67,0.0,0.0
Right caudate,"(13,10,10)",5.93,0.0,0.0001
Subcallosal cortex,"(−0,21,−15)",5.53,0.0,0.0003
