Target region,MNI center,t,Uncorrected,FDR-corrected
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,p-value,p-value
Left accumbens,"(−9,11,−7)",,,
Left caudate,"(−13,9,10)",12.0,0.0,0.0
Right caudate,"(13,10,10)",7.73,0.0,0.0
Right accumbens,"(9,12,−7)",7.62,0.0,0.0
Left frontal orbital cortex,"(−30,24,−17)",6.95,0.0,0.0
Right frontal orbital cortex,"(29,23,−16)",5.99,0.0,0.0001
Right amygdala,"(23,−4,−18)",5.74,0.0,0.0001
Anterior cingulate gyrus,"(1,18,24)",5.63,0.0,0.0001
Left putamen,"(−25,0,0)",5.59,0.0,0.0001
Right putamen,"(25,2,0)",5.42,0.0,0.0002
Right para cingulate gyrus,"(7,37,23)",5.42,0.0,0.0002
Left pallidum,"(−19,−5,−1)",5.39,0.0,0.0002
Left superior frontal gyrus,"(−14,19,56)",5.39,0.0,0.0002
Right inferior frontal gyrus,"(52,28,8)",5.33,0.0,0.0002
Left thalamus,"(−10,−19,6)",5.27,0.0,0.0002
Subcallosal cortex,"(−0,21,−15)",5.21,0.0,0.0002
Left para cingulate gyrus,"(−6,37,21)",4.71,0.0001,0.0006
Left temporal pole,"(−40,11,−30)",4.34,0.0002,0.0016
Left amygdala,"(−23,−5,−18)",4.12,0.0004,0.0027
Right accumbens,"(9,12,−7)",,,
Left accumbens,"(−9,11,−7)",7.62,0.0,0.0
Right caudate,"(13,10,10)",6.87,0.0,0.0
Left caudate,"(−13,9,10)",6.75,0.0,0.0
Right amygdala,"(23,−4,−18)",6.4,0.0,0.0
Subcallosal cortex,"(−0,21,−15)",5.43,0.0,0.0003
Left amygdala,"(−23,−5,−18)",5.11,0.0,0.0006
Right temporal pole,"(41,13,−30)",4.9,0.0,0.0009
Right para cingulate gyrus,"(7,37,23)",4.84,0.0001,0.0009
Right frontal orbital cortex,"(29,23,−16)",4.74,0.0001,0.0011
Anterior cingulate gyrus,"(1,18,24)",4.67,0.0001,0.0012
Right inferior temporal gyrus,"(46,−2,−41)",4.56,0.0001,0.0014
Right hippocampus,"(26,−21,−14)",4.49,0.0001,0.0015
Left inferior temporal gyrus,"(−48,−5,−39)",4.16,0.0003,0.0033
Right thalamus,"(11,−18,7)",4.08,0.0004,0.0038
Left frontal orbital cortex,"(−30,24,−17)",4.01,0.0005,0.0042
Right putamen,"(25,2,0)",3.92,0.0006,0.005
