Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,HC,MCI,Unnamed: 6_level_0,Unnamed: 7_level_0
Study ↑,Cit.,Method,Modalities,n,Cat.,n,Acc%
Wolz et al (2011),[???],LDA,MRI,231.0,sMCI,238.0,68.0
,,,,,cMCI,167.0,84.0
Zhang et al (2011),[???],SVM,MRI+FDG-PET+ CSF,231.0,SMCI,238.0,82.0
,,LDA,,,PMCI,167.0,84.0
Liu et al (2012),[???],SRC,MRI,229.0,MCI,225.0,87.8
Gray et al (2013),[???],RF,MRI+PET+CSF+genetic,35.0,MCI,75.0,75.0
Liu et al (2013),[???],SVM + LLE,MRI,137.0,sMCI,92.0,69.0
,,,,,cMCI,97.0,81.0
Wee et al (2013),[???],SVM,MRI,200.0,MCI,200.0,83.7
Guerrero et al (2014),[???],SVM,MRI,134.0,EMCI,229.0,65.0
,,,MRI,175.0,cMCI,116.0,82.0
Payan & Montana (2015),[???],CNN,MRI,755.0,MCI,755.0,92.1
Prasad et al (2015),[???],SVM,DWI,50.0,EMCI,74.0,59.2
,,,,,LMCI,38.0,62.8
Suk et al (2015),[???],DNN,MRI+PET,52.0,MCI,99.0,90.7
Shakeri et al (2016),[???],DNN,MRI,150.0,EMCI,160.0,56.0
,,,MRI,,LMCI,160.0,59.0
"Aderghal, Benois-Pineau et al (2017)",[???],CNN,MRI,228.0,MCI,399.0,66.2
"Aderghal, Boissenin et al (2017)",[???],CNN,MRI,228.0,MCI,399.0,66.0
Billones et al (2017),[???],CNN,MRI,300.0,MCI,300.0,91.7
Guo et al (2017),[???],SVM,rs-fMRI,28.0,EMCI,32.0,72.8
,,,,,LMCI,32.0,78.6
Korolev et al (2017),[???],CNN,MRI,61.0,LMCI,43.0,63.0
,,,,,EMCI,77.0,56.0
Wang et al (2017),[???],CNN,MRI,229.0,MCI,400.0,90.6
Li & Liu (2018),[???],CNN,MRI,229.0,MCI,403.0,73.8
Qiu et al (2018),[???],CNN,MRI+MMSE+LM,303.0,MCI,83.0,90.9
Senanayake et al (2018),[???],CNN,MRI+NM,161.0,MCI,193.0,75.0
Altaf et al (2018),[???],SVM,MRI,90.0,MCI,105.0,79.8
,,Ensemble,MRI,,MCI,,75.0
,,KNN,MRI,,MCI,,75.0
,,Tree,MRI,,MCI,,78.0
,,SVM,clinical+MRI,,MCI,,83.0
,,Ensemble,clinical+MRI,,MCI,,82.0
,,KNN,clinical+MRI,,MCI,,86.0
,,Tree,clinical+MRI,,MCI,,80.0
Forouzannezhad et al (2018),[???],SVM,MRI,248.0,EMCI,296.0,73.1
,,,MRI,,LMCI,193.0,63.0
,,,PET,,LMCI,,73.6
,,,PET+MRI,,LMCI,,76.9
,,,PET+MRI,,EMCI,,75.6
,,,PET+MRI+NTS,,LMCI,,91.9
,,,PET+MRI+NTS,,EMCI,,81.1
Hosseini Asl et al (2018),[???],CNN,MRI,70.0,MCI,70.0,94.0
"Jie, Liu, Shen et al (2018)",[???],SVM,rs-fMRI,50.0,EMCI,56.0,78.3
"Jie, Liu, Zhang et al (2018)",[???],SVM,rs-fMRI,50.0,MCI,99.0,82.6
Raeper et al (2018),[???],SVM + LDA,MRI,42.0,EMCI,42.0,80.9
Basaia et al (2019),[???],CNN,MRI,407.0,cMCI,280.0,87.1
,,,,,sMCI,533.0,76.1
Forouzannezhad et al (2019),[???],DNN,MRI,248.0,EMCI,296.0,61.1
,,,MRI,,LMCI,193.0,64.1
,,,PET,,EMCI,,58.2
,,,PET,,LMCI,,66.0
,,,MRI+PET,,EMCI,,68.0
,,,MRI+PET,,LMCI,,71.7
,,,MRI+PET+NTS,,EMCI,,84.0
,,,MRI+PET+NTS,,LMCI,,84.1
Wang et al (2019),[???],DNN,MRI,209.0,MCI,384.0,98.4
Wee et al (2019),[???],CNN,MRI,300.0,LMCI,208.0,69.3
,,,,,EMCI,314.0,51.8
,,,,242.0,MCI,415.0,67.6
Kam et al (2020),[???],CNN,rs-fMRI,48.0,EMCI,49.0,76.1
Fang et al (2020),[???],GDCA,MRI+PET,251.0,EMCI,,79.2
Forouzannezhad et al (2020),[???],GP,MRI,248.0,EMCI,296.0,75.9
,,,MRI,,LMCI,193.0,62.1
,,,MRI+PET,,EMCI,,75.9
,,,MRI+PET,,LMCI,,78.1
,,,MRI+PET+DI,,EMCI,,78.8
,,,MRI+PET+DI,,LMCI,,79.8
,,,PET,,LMCI,,76.1
Jiang et al (2020),[???],CNN,MRI,50.0,EMCI,70.0,89.4
Kang et al (2020),[???],CNN,DTI,50.0,EMCI,70.0,71.7
,,CNN,MRI,,EMCI,,73.3
,,,DTI+MRI,,EMCI,,94.2
Yang et al (2021),[???],SVM,rs-fMRI,29.0,EMCI,29.0,82.8
,,,,,LMCI,18.0,87.2
our method,,EA + ANN,rs-fMRI,68.0,EMCI,72.0,94.5
