Unnamed: 0_level_0,T2DM-NCI,T2DM-NCI,T2DM-MCI,T2DM-MCI,NC,NC,p
Unnamed: 0_level_1,Mean,SD,Mean,SD,Mean,SD,p
AVLT (immediate),23.71,4.92,20.41,5.51,23.84,5.15,0.008*
AVLT (immediate),23.71,4.92,20.41,5.51,23.84,5.15,0.008*
AVLT (5 min),9.46,2.27,7.5,2.67,10.09,4.11,0.000*
AVLT (delay),9.14,2.46,6.97,2.96,9.28,2.23,0.000*
AVLT (recall),11.07,2.1,8.21,3.97,11.03,1.88,0.000*
TMT-A,47.05,23.25,59.68,19.59,51.25,21.75,0.000*
TMT-B,40.18,17.01,48.76,15.87,43.23,16.72,0.009*
DST (direct),7.85,1.47,7.32,1.61,10.08,9.16,0.102
DST (reverse),4.95,1.26,3.89,1.59,5.1,1.64,0.000*
MoCA-B,27.51,1.55,24.05,0.85,27.52,1.54,0.000*
MMSE,28.49,1.54,27.83,1.84,28.32,1.69,0.170
DSST,49.75,12.89,35.03,12.77,48.24,14.83,0.000*
GPT (R),74.17,13.53,90.7,27.53,68.49,14.17,0.000*
GPT (L),81.6,15.25,93.81,30.89,80.1,18.22,0.023*
