Seed region,Insula L,Insula R,Lateral parietal cortex R,PCC,ACC
Younger participants,,,,,
Intensity-Low distraction,0.086,−0.071,0.517,0.456,0.732**
Unpleasantness-Low distraction,0.092,0.040,0.61,0.399,0.722**
Intensity-High distraction,0.253,0.078,0.396,0.384,0.662
Unpleasantness-High distraction,0.135,0.094,0.546,0.361,0.718**
Older participants,,,,,
Intensity-Low distraction,0.448,0.258,0.112,0.149,0.602
Unpleasantness-Low distraction,0.418,0.199,0.251,0.321,0.666**
Intensity-High distraction,0.421,0.150,0.022,0.092,0.538
Unpleasantness-High distraction,0.455,0.198,0.17,0.207,0.679**
