ROI,Location,Yeo??? network/cerebellar ROIs,X,Y,Z,Size (mm3)
1,L anterior frontal,DMN,− 16.5,− 52.5,+ 20.5,1539
2,L middle frontal,DMN,− 19.5,− 37.5,+ 47.5,1539
3,L inferior frontal,DMN,− 40.5,− 31.5,− 3.5,297
4,L superior frontal,Dorsal attention,− 10.5,+ 7.5,+ 59.5,459
5,L prefrontal,Frontoparietal,− 19.5,− 28.5,− 0.5,1296
6,R anterior Cingulate,Frontoparietal,+ 7.5,− 25.5,+ 29.5,648
7,R inferior frontal,Frontoparietal,+ 37.5,− 37.5,+ 2.5,567
8,L frontal pole,Limbic,− 7.5,− 61.5,− 3.5,1836
9,R insula,Limbic,+ 19.5,− 16.5,− 9.5,1161
10,L orbitofrontal,Limbic,− 4.5,− 22.5,− 15.5,864
11,L inferior temporal,Limbic,− 46.5,+ 16.5,− 21.5,486
12,R frontal pole,Limbic,+ 19.5,− 61.5,+ 2.5,297
13,L ventral frontal,Ventral attention,− 28.5,− 10.5,− 3.5,2862
14,R fusiform,Visual,+ 22.5,+ 34.5,− 15.5,2646
15,L TPO junction,Visual,− 46.5,+ 73.5,+ 17.5,1188
16,L middle occipital,Visual,− 22.5,+ 91.5,+ 14.5,567
17,R medial cerebellum,Cerebellar,+ 19.5,+ 61.5,− 33.5,405
18,R lateral cerebellum,Cerebellar,+ 37.5,+ 52.5,− 36.5,297
