Unnamed: 0,Effects of menstrual cycle,Correlation with estradiol,Correlation with progesterone
Whole Brain Cortical Gray Matter Volume,No significant cycle phase effect,Not significant,Not significant
Right Hemisphere Cortical Gray Matter Volume,No significant cycle phase effect,Not significant,Not significant
Left Hemisphere Cortical Gray Matter Volume,No significant cycle phase effect,Not significant,Not significant
Left Hemisphere Cortical Gray Matter Thickness,Menstrual > Luteal* Menstrual > Follicular+,Not significant,Not significant
Right Hemisphere Cortical Gray Matter Thickness,No significant cycle phase effect,Not significant,Not significant
Whole Brain White Matter Volume,No significant cycle phase effect,Not Significant,Not significant
Left Hemisphere White Matter Volume,No significant cycle phase effect,Positive correlation*,Not significant
Right Hemisphere White Matter Volume,Follicular > Luteal* Ovulatory > Luteal+,Positive correlation*,Not significant
Subcortical Gray Matter Volume,No significant cycle phase effect,Not significant,Not significant
Cerebrospinal Fluid Volume,No significant cycle phase effect,Not significant,Not significant
