Seed,Regions,Side,MNI Coordinate,MNI Coordinate,MNI Coordinate,Voxel,z-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1
Left dorsal caudate,ACC,L,−4,44,12,110,−3.91
,STG,L,−46,−36,8,28,−3.13
,CC,L,−2,−10,28,23,−3.11
,CC,R,0,−2,46,43,−3.5
Left ventral caudate,PACLB,L,−6,−26,58,79,−4.44
,IFG,L,−34,40,−14,54,−3.49
,MI,L,−60,−4,32,42,−3.71
Right dorsal caudate,ACC,L,−4,−42,12,182,−4.12
,STG,L,−50,−28,16,50,−3.58
,IFG,L,−28,28,−6,21,−3.51
,ACC,R,10,38,−4,20,−4.0
Right ventral caudate,IFG,L,−42,34,−10,86,−4.3
