Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Cluster,Peak,Peak,Peak,Unnamed: 7_level_0,Unnamed: 8_level_0
Seed,Connectivity peak,Hemisphere,Size,X,Y,Z,T,Cohen’s d
Right NAc,CAU,L,158,–12,12,18,–5,–0.52
,CAU,R,78,21,15,18,–4.55,–0.47
,INS,L,62,–33,–12,21,–5.17,–0.53
,INS,R,58,30,–18,18,–4.92,–0.51
,FFG,R,123,42,–36,–24,–4.1,–0.42
,PHG,R,56,27,–30,–12,–4.33,–0.45
,THA,L,46,–12,–15,18,–4.79,–0.49
,MTG,R,55,42,–51,12,–4.09,–0.42
,ITG,R,48,51,–39,–18,–3.83,–0.39
,HIP,R,47,27,–33,–6,–4.76,–0.49
,PUT,R,45,30,12,9,–4.64,–0.48
,PCUN,R,55,15,–56,49,–3.74,–0.39
,PCUN,L,96,–3,–48,60,–4.12,–0.42
,SOG,L,66,–21,–63,24,–4.34,–0.45
,PoCG,L,252,–42,–24,60,–4.27,–0.44
,PreCG,L,234,–24,–15,66,–4.63,–0.48
,SFG,R,86,27,–3,63,–4.12,
Left NAc,FFG,R,237,42,–29,–21,–4.35,–0.45
,PHG,R,108,24,–3,36,–4.47,–0.46
,ITG,R,80,54,–57,–9,–3.51,–0.36
,HIP,R,76,21,–12,–15,–4.47,–0.46
,CAU,L,150,–15,–15,21,–4.98,–0.51
,CAU,R,97,21,21,12,–5.26,–0.54
,MFG,L,102,–33,54,27,–4.46,–0.46
,SFG,R,137,21,27,33,–4.6,–0.47
,ORBsup,R,71,24,39,–12,–4.61,–0.47
,ORBsup,L,44,–17,42,–15,–3.89,–0.4
,INS,L,55,–30,7,15,–4.58,–0.47
,REC,L,32,–12,39,–18,–3.87,–0.4
,PoCG,R,77,48,–30,54,–3.76,–0.39
,INS,R,21,36,–6,18,–4.02,–0.41
,ACC,R,22,–15,33,19,–4.28,–0.44
