Sub.,DMN,DMN,DMN,DMN,DAN,DAN,DAN,DAN
Unnamed: 0_level_1,LIPC,RIPC,MPFC,PCC,L-FEF,R-FEF,L-IPS,R-IPS
,,–,–,–,–,–,–,–
2.0,L-LOC,R-LOC,MedFC,Precu,–,R-PreCG,L-SPL,R-SPL
3.0,L-Caudate,L- tri IFG,–,R-MTG,L-FP,R-ITG,PC,R-STG
4.0,L-LOC,R-LOC,MedFC,Precu,–,R-PreCG,L-SPL,R-SPL
5.0,L-LG,L-LG,–,L-LG,L-LG,L-LG,L-LG,L-LG
6.0,L-LOC,R-LOC,MedFC,Precu,–,R-PreCG,L-SPL,R-SPL
7.0,-,R-LOC,MedFC,Precu,–,R-PreCG,L-SPL,R-SPL
8.0,–,–,–,–,–,–,–,–
9.0,L-oper IFG,L-AG,R-SPL,L-oper IFG,–,–,L-ITG,R-SPL
10.0,R-LOC,L-LOC,R-LOC,L-LOC,–,MedFC,–,–
11.0,R-OP,L-ITG,R-OP,L-OP,L-TFusC,L-TFusC,L-MFG,L-FG oper
12.0,L-LOC,L-LOC,MedFC,Precu,–,R-PreCG,R-SPL,R-SPL
13.0,L-LOC,–,–,–,–,–,R-ITG,L-LOC
14.0,–,–,–,–,–,–,–,R-SPL
15.0,–,–,–,–,–,–,R-SPL,–
16.0,–,–,–,–,R-MTG,L-OP,L-PostCG,–
17.0,–,R-Cereb,–,–,L-FP,–,–,–
18.0,–,–,–,–,–,–,L-SPL,–
19.0,–,–,R-Cereb,–,R-Cereb,–,L-SPL,–
20.0,–,–,–,–,–,–,–,–
21.0,–,–,FP l,–,L-PreCG,–,–,–
22.0,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,L-FP
23.0,–,–,R-Cereb,–,R-Cereb,–,–,–
24.0,–,–,R-Cereb,–,R-SPL,–,–,–
25.0,–,–,Brain-S,Brain-S,Brain-S,Brain-S,R-LOC,Brain-S
26.0,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb,R-Cereb
27.0,–,–,–,–,L-PreCG,–,–,–
28.0,R-SPL,–,R-PreCG,-,R-Cereb,L-MTG,L-MTG,L-MTG
