Network,Node,"Coordinate (x, y, z)"
Default mode network,Medial prefrontal cortex (MPFC),"1, 55, −3"
,Left lateral inferior parietal (LIPC),"−39, −77, 33"
,Right lateral inferior parietal (RIPC),"47, −67, 29"
,Posterior cingulate cortex (PCC),"1, −61, 38"
Dorsal attention network,Left frontal eye field (L-FEF),"−27, −9, 64"
,Right frontal eye field (R-FEF),"30, −6, 64"
,Intraparietal sulcus (L-IPS),"−39, −43, 52"
,Intraparietal sulcus (R-IPS),"39, −42, 54"
