Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Paxino atlas,Paxino atlas,Paxino atlas
Cluster (Total),Sub-regions,Cluster size,t value,x,y,z
Cluster 1,–,30,−4.7713,−5.2290,6.4758,0.1221
,L-claustral layer,18,−4.7713,−5.2290,6.4758,0.1221
,L-insular cortex,4,−4.5037,−5.2356,6.4332,0.6021
,L-piriform cortex,8,−4.4802,−5.0972,6.5828,0.6021
Cluster 2,–,30,−4.1626,−2.7649,1.8829,−4.1979
,L-hippocampus,30,−4.1626,−2.7649,1.8829,−4.1979
Cluster 3,–,84,−4.3381,4.1963,5.6905,−4.6779
,R-thalamus lateral nucleus group,32,−4.3381,4.1963,5.6905,−4.6779
,R-hippocampus,52,−4.2948,4.3413,5.7411,−5.1579
,R-supraoptic region,5,−4.3356,4.3347,5.6985,−4.6779
Cluster 4,–,39,−4.7468,−3.1430,4.0409,−5.6379
,L-thalamus lateral nucleus group,39,−4.2085,−3.2814,4.1745,−5.6379
Cluster 5,–,66,−5.4829,−0.7383,0.2097,−5.6379
,L-retrosplenial cortex,46,−5.2766,−0.8767,0.0761,−5.6379
Cluster 6,–,26,4.3959,1.1080,6.9554,−12.8379
,R-posterior lobe of cerebellum,9,4.3959,1.1080,6.9554,−12.8379
,R-medulla oblongata,3,4.1285,1.1080,7.2563,−12.8379
,R-tegmentum of pons,14,4.3608,1.2291,7.104,−12.8379
