Sample characteristics,Statistics,Statistics,Statistics
Sample characteristics,mTBI (n = 100),Controls (n = 20),Statistics (P‐value)
Demographic,Demographic,Demographic,Demographic
Age,14.06 (2.4),14.44 (3.0),—
Gender,Gender,Gender,Gender
Male/female,45/55,9/11,—
Symptoms,Symptoms,Symptoms,Symptoms
Headache,3.20 (1.5),1.40 (0.8),8 × 10−4
Dizziness,1.72 (1.1),1.20 (0.5),0.038
Irritability,2.20 (1.3),1.40 (0.8),0.031
Fatigue,2.40 (1.2),0.50 (0.7),2 × 10−6
Sleep,1.82 (0.9),1.40 (0.7),9 × 10−7
Total PCSI score,18.0 (0–75),3.90 (0–21),4.5 × 10−5
Behavioral measures,Behavioral measures,Behavioral measures,Behavioral measures
CNS VS,CNS VS,CNS VS,CNS VS
Neurocognition index,98.40 (11.7),101.50 (10.8),—
Executive function,102.31 (13.4),105.80 (12.2),—
BASC‐2,BASC‐2,BASC‐2,BASC‐2
Behavioral Symptoms Index,48.70 (7.5),45.05 (8.8),—
Anxiety,51.90 (12.2),45.94 (6.6),—
BRIEF,BRIEF,BRIEF,BRIEF
Working Memory,53.30 (10.1),49.10 (8.7),—
Behavioral Regulation Index,49.23 (9.2),45.85 (8.0),—
