Contrast,Cluster,Brain region,Peak T value,Peak Z value,MNI coordinates,MNI coordinates,MNI coordinates
Contrast,Cluster,Brain region,Peak T value,Peak Z value,X,Y,Z
Real taVNS,Real taVNS,Real taVNS,Real taVNS,Real taVNS,Real taVNS,Real taVNS,Real taVNS
On>Off,506,Right putamen,5.99,4.67,28,0,−2
On>Off,506,Right pallidum,5.43,4.37,20,4,−2
On>Off,506,Right anterior insula,4.59,3.87,26,8,12
On>Off,506,Right caudate,4.29,3.68,18,2,16
On>Off,506,Right thalamus,4.17,3.60,4,−8,6
On>Off,201,Left putamen,5.46,4.39,−26,2,0
On>Off,201,Left frontal operculum,3.74,3.30,−6,12,12
On<Off,"37,152",Bilateral precuneus,7.69,5.46,−6,−46,52
On<Off,"37,152",Bilateral PCC,7.10,5.20,−8,−38,54
On<Off,"37,152",Bilateral hippocampus,7.50,5.38,−30,−26,−12
On<Off,"37,152",Bilateral precentral gyrus,7.10,5.20,−8,−38,54
On<Off,"37,152",Bilateral mPFC,6.97,5.15,−8,38,−16
On<Off,"37,152",Bilateral ACC,6.96,5.14,18,24,−12
On<Off,148,Bilateral locus coeruleus,4.28,3.67,−3,−34,−22
On<Off,148,Left solitary nucleus,4.20,3.62,−6,−46,−54
On<Off,132,Right raphe nucleus/parabrachial nucleus,5.34,4.32,10,−26,−30
On<Off,126,Left posterior insula,4.97,4.11,−32,−26,16
On<Off,162,Bilateral superior frontal gyrus,4.58,3.87,−20,40,40
On<Off,162,Bilateral middle frontal gyrus,4.02,3.50,−30,32,32
,,,,,,,
Sham taVNS,Sham taVNS,Sham taVNS,Sham taVNS,Sham taVNS,Sham taVNS,Sham taVNS,Sham taVNS
On>Off,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold
On<Off,3203,Bilateral mPFC,7.90,5.55,−10,42,−12
On<Off,3203,Bilateral ACC,6.41,4.88,−8,34,−12
On<Off,3203,Bilateral caudate,6.33,4.85,−14,20,−6
On<Off,"19,964",Bilateral precentral gyrus,7.29,5.29,−24,−24,68
On<Off,"19,964",Bilateral postcentral gyrus,7.12,5.22,−20,−30,66
On<Off,"19,964",Bilateral precuneus,5.95,4.65,6,−58,52
On<Off,"19,964",Bilateral middle occipital gyrus,5.84,4.60,34,−78,38
On<Off,1166,Left inferior temporal gyrus,6.03,4.69,−46,−22,−26
On<Off,1166,Bilateral hippocampus,5.91,4.63,−26,−36,−8
On<Off,1166,Bilateral fusiform gyrus,5.65,4.49,−36,−16,−28
On<Off,1166,Bilateral lingual gyrus,4.19,3.61,−16,−40,−10
On<Off,319,Left middle frontal gyrus,5.97,4.66,−26,38,32
On<Off,319,Left superior frontal gyrus,4.47,3.80,−26,30,46
On<Off,211,Left inferior occipital gyrus,5.97,4.66,−50,−70,−18
On<Off,348,Right hippocampus,5.73,4.54,26,−12,−20
On<Off,348,Right fusiform gyrus,4.45,3.79,34,−34,−28
On<Off,456,Right occipital fusiform gyrus,4.60,3.88,20,−86,−14
On<Off,175,Left middle frontal gyrus,5.56,4.44,−40,20,28
On<Off,102,Left middle temporal gyrus,5.27,4.28,−58,−18,−16
On<Off,114,Right temporal pole,4.87,4.04,48,14,−30
On<Off,152,Left posterior insula,4.66,3.92,−30,−26,18
On<Off,266,Right middle frontal gyrus,4.64,3.91,28,38,42
On<Off,266,Right superior frontal gyrus,4.38,3.73,24,28,44
,,,,,,,
Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS,Real taVNS vs Sham taVNS
Real<Sham,21,Bilateral locus coeruleus,3.99,3.48,−2,−34,−20
Real>Sham,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold,No brain region above the threshold
