Unnamed: 0,Slices,TR (ms),TE (ms),Flip angle (°),Matrix size (voxels),Voxel size (mm),Unnamed: 7,Unnamed: 8
anatomical MRI,,,,,,,,
Graz,176.0,1900,2.2,9.0,256 × 256,1.00 × 1.00 × 1.00,,
Leiden,180.0,9.8,4.6,8.0,288 × 288,0.78 × 0.78 × 1.00,,
Maastricht,180.0,8.2,3.7,8.0,240 × 240,1.00 × 1.00 × 1.00,,
Nijmegen,192.0,2300,4.7,12.0,256 × 256,1.00 × 1.00 × 1.00,,
Amsterdam,176.0,7.8,3.0,12.0,256 × 256,0.94 × 0.94 × 1.00,,
diffusion MRI,,,,,,,Directions???,b0 scans
Graz,50.0,6700,95.0,90.0,125 × 125,2.00 × 2.00 × 2.50,12???,4
Leiden,70.0,8250,80.0,90.0,128 × 128,2.00 × 2.00 × 2.00,61,1
Maastricht,70.0,8250,80.0,90.0,128 × 128,2.00 × 2.00 × 2.00,61,1
Nijmegen,81.0,"13,000",102.0,90.0,128 × 128,2.00 × 2.00 × 2.00,30,1
Amsterdam,45.0,"13,000",94.0,90.0,128 × 128,2.00 × 2.00 × 2.40,30,1
rs-fMRI,,,,,,,Volumes,
Graz,40.0,3000,30.0,90.0,64 × 64,3.00 × 3.00 × 3.00,150,
Leiden,38.0,2200,30.0,80.0,80 × 80,2.75 × 2.75 × 3.00,200,
Maastricht,38.0,2200,30.0,80.0,112 × 112,2.00 × 2.00 × 2.50,200,
Nijmegen,49.0,2380,30.0,90.0,64 × 64,3.50 × 3.50 × 3.50,110,
Amsterdam,34.0,1800,35.0,80.0,64 × 64,3.30 × 3.20 × 3.00,202,
