Unnamed: 0_level_0,Training data,Memory clinic data,Memory clinic data,Memory clinic data
MRI measure,HC vs AD,SMC vs MCI,MCI vs AD,SMC vs AD
Grey matter density,0.91***,0.69**,0.70**,0.86***
Subcortical volumes,0.82***,0.62,0.66*,0.76***
Cortical thickness,0.92***,0.64,0.66*,0.76***
Combined anatomical MRI,0.94***,0.69**,0.70**,0.85***
Fractional anisotropy,0.83***,0.60,0.57,0.65*
Mean diffusivity,0.84***,0.62,0.55,0.66*
Axial diffusivity,0.81***,0.63,0.58,0.72***
Radial diffusivity,0.85***,0.58,0.57,0.64
Combined diffusion MRI,0.87***,0.65*,0.57,0.71***
Functional connectivity,0.79***,0.66*,0.54,0.71**
ALFF,0.81***,0.49,0.56,0.55
Combined rs-fMRI,0.85***,0.62,0.56,0.68**
Multimodal MRI,0.94***,0.68**,0.69**,0.84***
