Unnamed: 0,Unnamed: 1,CTS Pre-Op,CTS Post-Op,HCs
N,Total,25,17,25
,W/M,18/7,13/4,18/7
Age (years),Total,49.6 ± 12.0,52.1 ± 12.0,45.7 ± 9.4
,W/M,W: 49.9 ± 12.2,W: 52.1 ± 12.5,W: 46.3 ± 10.4
,,M: 48.4 ± 11.4,M: 50.3 ± 11.8,M: 44.7 ± 8.2
"Depression (BDI, 0 to 63)",Total,9.9 ± 7.2*,4.8 ± 6.9**,5.2 ± 6.3*
,W/M,W: 9.5 ± 7.5,,W: 4.9 ± 6.7
,,M: 10.7 ± 7.0,,M: 6.6 ± 5.6
BCTQ (score: 2–10),BCTQ (score: 2–10),5.9 ± 1.3,2.5 ± 0.4**,
painDETECT (score: 0–38),painDETECT (score: 0–38),15.9 ± 6.4,4.0 ± 3.8**,
BPI Average pain severity (score: 1–10),BPI Average pain severity (score: 1–10),4.7 ± 2.8,0.8 ± 1.9**,
