Author (year),N MCI,N HC,Imaging parameters/method of analysis,Diagnostic accuracy measurement,Significant findings/ROIs,Sensitivity (%),Specificity (%),Accuracy (%)
Koch et al. (???)???,17,21,Rs‐fMRISBAICA,Discriminant analyses group classifications:Time‐course correlation analyses (TCC)ICA determination of magnitude of coactivation between nodesCombination of both approaches,DMN and non‐DMN nodes,Combined TCC and ICA: 64.7,Combined TCC and ICA: 95.2,Combined TCC and ICA: 81.6
Wee et al. (???),10,17,Rs‐fMRIDTI integration (parcellated into 45 regions per hemisphere) using AAL ROIs,Multimodal data fusion using multiple‐kernel SVMEvaluated classification accuracy and the AUC of ROC curve,"Integration of biomarkers from structural MRI, rs‐fMRI and DTI enable multimodal analysis of network connectivitySalient areas for accurate classification include the PFC, orbitofrontal cortex, ACC, and PCC",rs‐fMRI:70.0Proposed combined rs‐fMRI and DTI:100.0,rs‐fMRI:70.59Proposed combined rs‐fMRI and DTI:94.12,rs‐fMRI:70.37Proposed combined rs‐fMRI and DTI:96.30
Jiang et al. (???)???,100,50,Rs‐fMRI using RSNs derived from ICA.Sparse representation of fMRI signals and identification of 10 RSNs,"Six types of features (SOR, FC‐RSNs, FC‐D, ET‐FC, ET‐CDRSNs, and CDC) in the RSNs","RSNs#1, #2, and #3: “visual” cortex, which includes medial, occipital pole, and lateral visual areas, RSN #4: DMN, RSN #5: cerebellum, RSN #6: “sensorimotor” network, RSN #7: “auditory” system, RSN #8: ECN, which includes the ACC and the paracingulate regions, RSNs #9 and #10 show networks that have strong lateralization, which includes the middle frontal, orbital and superior parietal areas",CFS: 94.00,CFS: 90.00,CFS: 92.00
Li et al. (???),12,25,Rs‐fMRI using ICA,Sparse effective connectivity using Granger causalityMAR modeling using OLS algorithmSVM with nonlinear kernel,MCC and PCC regions are causally influenced by the IFG ACC regionsLING and CAU regions are only influenced by their own previous activity,,,83.78
Zhu et al. (???),Dataset 1: 10Dataset 2: 12,Dataset 1: 10Dataset 2: 12,rs‐fMRI and DTI,DICCCOLs: 358 ROIs possessing optimized DTI‐derived fiber shape patterns,"A two‐stage feature selection procedure was conducted to obtain the most discriminative FC named “connectome signatures.” DICCCOLs that are distributed over the whole cortex offer better functional homogeneity, much finer granularity, more accurate localization functionally, and automatically established cross‐subjects correspondence",,,Dataset 1:100%Dataset 2:95.8%
Challis et al. (???)???,27,39,rs‐fMRI dataset post‐processed using SBA to include 82 anatomically distinct ROIs based on a priori selection,Gaussian process logistic regression (GP‐LR) model,This dataset also included AD patients. One of the aims was to use the classification to discriminate between MCI and HC,AD versus MCI: 88.0,AD versus MCI: 62.0,AD versus MCI: 77.0
"Lee, Ratnarajah, et al. (???)???",61,22,59 brain neural pathways based on a priori knowledge were analyzed116 nodes were identified and the FC between nodes at paired brain regions was measured by the strength of the linear relationship depicted by r,Three linear classifiers: Naïve Bayesian (NB); logistic regression; and SVMOne decision trees classifier: RFDiagnostic performances were evaluated on a pathway‐based approach and a region‐based approach,"SVM classification model gave the best diagnostic accuracies for discriminating MCI from HC, for both the pathway‐based approach and a region‐based approach.",SVM inPathway‐based approach:86.0Region‐based approach:76.0,SVM inPathway‐based approach:78.0Region‐based approach:51.0,SVM inPathway‐based approach:83.0Region‐based approach:62.0
Suk et al. (???),12,25,Group ICA was performed,Linear SVM methods were usedROC curves were plotted,The diagnostic performances of the competing methods were analyzed with HMP and without HMP. The best results were achieved with HMP in regression in the multi‐spectrum analysis,Multi‐spectrum with HMP: 91.67,Multi‐spectrum with HMP: 88.0,Multi‐spectrum with HMP: 89.19
Chen et al. (???),54,54,SBA of rs‐fMRI datasetDTI: Static and dynamic functional correlation tensor,SVM and ROC curveCross‐validation done with LOOCV method,"The combined method utilizing static and dynamic FC, FC tensor, gave the best diagnostic performance",Combined multi‐parametric method: 77.78,Combined multi‐parametric method: 79.63,Combined multi‐parametric method: 78.70
de Marco et al. (???),50,50,"Multiparametric MRI including T1W, T2W, DTI, FLAIR, and rs‐fMRI datasets was analyzed.Neuroanatomic volumetric indices were extracted from the segmentation and parcellation output.FC analyzed based on SBA.",Two types of machine learning algorithms were used: linear and quadratic Fisher discriminant analysessMRI classifier was heavily reliant upon the right HIPPOther classifiers were cognitive classifiers and rs‐fMRI classifiers,rs‐fMRI+ Cognitive classifier was the most accurate ensemblesMRI classifier was the least accurate,,,rs‐fMRI wide‐spread connectivity including the medio‐temporal nodes + Cognitive classifier: 94.0
