Author (year),N AD,Unnamed: 2,N HC,Method of analysis,Diagnostic accuracy measurement,Significant findings/ROIs,Sensitivity (%),Specificity (%),Accuracy (%)
Miao et al. (???),15,15,16,ICA with 59 components for the AD group determined for PCA,Granger causality modeling of DMN hubsROC curve (cutoff 0.647),PCCIPCmPFCLTCHIPPLTC,80.00,81.25,
Dai et al. (???)???,22,22,16,"Structural MRI, which was used to measure regional gray matter volumers‐fMRI, using amplitude of low‐frequency fluctuations (ALFF), regional homogeneity (ReHo), and regional functional connectivity strength (RFCS)",Multi‐classifier (M3) based on four maximum uncertainty linear discriminant analysis base classifiers,"90 ROIsDiscriminative features for classification: DMN (mPFC, PCC, HIPP, and paraHIPP), occipital regions (fusiform gyrus, inferior, and middle occipital gyrus), and subcortical (amygdala and pallidum of lenticular nucleus)",87.50,90.91,89.47
Koch et al. (???),15,15,21,Rs‐fMRISBAICA,Discriminant analyses group classifications:Time course correlation analyses (TCC)ICA determination of magnitude of coactivation between nodesCombination of both approaches,DMN and non‐DMN nodes,TCC: 86.7ICA: 53.3Combined: 100,TCC: 95.2ICA: 71.4Combined: 95.2,TCC: 91.7ICA: 63.9Combined: 97.2
Balthazar et al. (???),22,22,26,Rs‐fMRI SBA of DMN and WCP,ROC curve analysis,PCC,"DMN, cutoff z‐score of 0.267:77.3WCP, cutoff z‐score of 0.195:72.7","DMN, cutoff z‐score of 0.267:70.0WCP, cutoff z‐score of 0.195:70.0",
Jiang et al. (???)???,35,35,50,Rs‐fMRI using RSNs derived from ICA.Sparse representation of fMRI signals and identification of 10 RSNs,"Six types of features (SOR, FC‐RSNs, FC‐D, ET‐FC, ET‐CDRSNs, and CDC) in the RSNs","RSNs#1, #2, and #3: “visual” cortex, which includes medial, occipital pole, and lateral visual areas, RSN #4: DMN, RSN #5: cerebellum, RSN #6: “sensorimotor” network, RSN #7: “auditory” system, RSN #8: ECN, which includes the ACC and the paracingulate regions, RSNs #9 and #10 show networks that have strong lateralization, which includes the middle frontal, orbital, and superior parietal areas",CFS: 94.12,CFS: 94.12,CFS: 94.12
Challis et al. (???)???,27,27,39,rs‐fMRI dataset post‐processed using SBA to include 82 anatomically distinct ROIs based on a priori selection,Gaussian process logistic regression (GP‐LR) model,This dataset also included MCI patients and the classification was aimed at discriminating between AD and MCI,AD versus MCI: 88.0,AD versus MCI: 93.0,AD versus MCI: 91.0
Dyrba et al. (???),28,28,25,Fiber tract integrity as measured by DTIGMV derived from structural MRIrs‐fMRI dataset derived analyzed using GTA measures of “local clustering coefficient” and “shortest path length”,The parameters were used as classifiers and ROC curve analyses were conducted for single modality parametric assessment and multimodal SVM assessment combinations using multiple kernel SVM method.SVM algorithm was validated using the LOOCV method,,rs‐fMRI: 82.0DTI: 86.0GMV: 82.0DTI and GMV: 79.03 combined: 82.0,rs‐fMRI: 64.0DTI: 84.0GMV: 80.0DTI and GMV: 92.03 combined: 76.0,rs‐fMRI: 74.0DTI: 85.0GMV: 81.0DTI and GMV: 85.03 combined: 79.0
"Lee, Kim, et al. (???)???",61,61,22,59 brain neural pathways based on a priori knowledge were analyzed116 nodes were identified and the FC between nodes at paired brain regions was measured by the strength of the linear relationship depicted by r,Three linear classifiers: Naïve Bayesian (NB); logistic regression; and SVMOne decision trees classifier: RFDiagnostic performances were evaluated on a pathway‐based approach and a region‐based approach,"SVM classification model gave the best diagnostic accuracies for discriminating AD from HC, for both the pathway‐based approach and a region‐based approach.",SVM inPathway‐based approach: 85.0Region‐based approach: 78.0,SVM inPathway‐based approach: 73.0Region‐based approach: 69.0,SVM inPathway‐based approach: 79.0Region‐based approach: 74.0
Schouten et al. (???),77,77,173,"Structural MRI analysis: GMD, WMD were calculatedDTI analysis: FA, MD valuesTemporal concatenation ICA",Six feature vectors from the three modalities with a logistic elastic net regression for classification,"Optimal combination of multimodal procedure consisted of GMD, WMD, FA, MD, and sparse partial correlations between functional rs‐fMRI networks (PC).",Multimodal procedure results:Mild AD: 72.1Moderate AD: 81.3,Multimodal procedure results:Mild AD: 93.5Moderate AD: 95.6,Multimodal procedure results:Mild AD: 89.6Moderate AD: 93.0
Khazaee et al. (???)???,,,,Graph measure of rs‐fMRI datasetTime series of voxels within each of 264 ROIs were averaged to generate a representative signal for each ROIBinary directed connectivity matrix for each subject was used to calculate 13 graph measures,"Multivariate Granger causality is performed by including more than two variables in a MVAR modelTypes of classifiers used: LDA, KNN, decision trees, SVM, and naïve Bayes classifier were used to discriminate between the features of MCI and HC","Naïve Bayes classifier achieved the best performance to discriminate between the features of MCI and HC, with the top features that had the most discriminating ability rising from nodes of the DMN",SVM: 51.55Naïve Bayes: 81.8,SVM: 97.7Naïve Bayes: 100,SVM: 71.95Naïve Bayes: 93.29
