Author (year),Country,Dataset/patient source,Total AD,AD M,AD F,AD age range (mean ± SD) (years),AD MMSE range (mean ± SD),Total HC,HC M,HC F,HC age range (mean ± SD) (years),HC MMSE range (mean ± SD)
Miao et al. (???),China,MRI Center of Beijing Normal University,15,6,9,(64 ± 8.27),0–20 (120 ± 0),16,7,9,65 ± 9.20,27–30 (29 ± 0)
Dai et al. (???),China,"Outpatient memory clinic patients at Xuanwu Hospital, Beijing, China",19,,,(69.56 ± 7.65),(18.50 ± 3.24),24,,,66.55 ± 7.67,(28.59 ± 0.59)
Koch et al. (???)???,Germany,Prospective case control study (site: NA),15,8,7,58.1–100.2 (76.4 ± 10.3),,21,10,11,56.4–83.0 (68.6 ± 7.3),
Balthazar et al. (???),Brazil,Neuropsychology and Dementia Outpatient Clinic (UNICAMP University Hospital),22,6,16,(73.40 ± 75.67),(18.86 ± 74.68),26,6,20,(71.03 ± 76.61),(28.59 ± 71.86)
Jiang et al. (???)???,USA,ADNI database,34,,,,,50,,,,
Challis et al. (???)???,UK,Prospective case control study (site: NA),27,15,12,(68 ± 6.0),(19 ± 5.0),39,21,18,(63 ± 9.0),(26 ± 9.0)
Dyrba et al. (???),Germany,German Center for Neuro‐degenerative Diseases (DZNE) Rostock database,28,14,14,(72 ± 7.0),(24 ± 3.0),25,12,13,(73 ± 6.0),(28 ± 1.0)
"Lee, Kim, et al. (???)",South Korea,Prospective case–control study (site: Samsung Medical Center),61,,,,,22,,,,
Schouten et al. (???)???,The Netherlands,Subjects scanned at Medical University of Graz,77,31,46,Mild AD: 70.3 ± 7.85Moderate AD: 66.9 ± 9.06,Mild AD: 24.2 ± 2.07Moderate AD: 16.6 ± 2.73,173,74,99,66.1 ± 8.71,26.7 ± 5.80
Khazaee et al. (???)???,Iran,ADNI database,34,16,18,(72.54 ± 7.02),(21.24 ± 3.37),45,19,26,(75.90 ± 6.79),(28.95 ± 1.56)
Park et al. (???),South Korea,Asan Medical Centre databaseADNI database,4116,139,287,(71.2 ± 7.5)(73.6 ± 4.1),(17.2 ± 5.4)(19.4 ± 5.5),2219,911,48,60–80 (67.9 ± 4.5)(72.5 ± 7.9),(29.3 ± 1.6)(29.5 ± 0.8)
Son et al. (???)???,South Korea,ADNI database,30,12,18,(74.00 ± 7.46),(19.40 ± 3.62),35,12,23,(76.06 ± 7.38),(29.43 ± 1.14)
Teipel et al. (???),Germany,Datasets from four different centers of the “German resting‐state initiative for diagnostic biomarkers” (psymri.org),53,22,31,(72.4 ± 8.8),(22.5 ± 4.4),118,57,61,(70.4 ± 6.2),(28.8 ± 1.0)
Teipel et al. (???)???,Germany,Datasets from five different centers of the “German resting‐state initiative for diagnostic biomarkers” (psymri.org),84,38,46,(72.0 ± 9.0),(22.4 ± 4.4),151,69,82,(69.0 ± 7.8),(28.9 ± 1.0)
Bi et al. (???),China,ADNI database,25,12,13,(74.59 ± 7.03),,35,15,20,(77.09 ± 6.69),
de Vos et al. (???),The Netherlands,Medical University of Graz as a part of the prospective registry on dementia (PRODEM),77,31,46,47–83 (68.6 ± 8.6),10–28 (20.4 ± 4.5),173,74,99,47–83 (66.1 ± 8.7),22–30 (27.5 ± 1.8)
Yokoi et al. (???),Japan,"Patient subjects from outpatient clinic of the Department of Neurology, Nagoya University Hospital, and Dementia Center of Meitetsu Hospital in Nagoya.",23,4,19,(68.6 ± 7.8),(23.6 ± 2.8),24,8,16,(65.4 ± 7.3),(29.4 ± 1.0)
Hojjati et al. (???)???,Iran,ADNI database,34,16,18,72.54 ± 7.02,21. 24 ± 3.37,49,21,28,74.47 ± 7.68,29.35 ± 1.63
Qureshi et al. (???),South Korea,"Part of a large cohort enrolled at National Dementia Research Center, Chosun University, Gwangju, South Korea",Very mild to mild AD: 77Moderate to severe AD: 49,Very mild to mild AD: 47Moderate to severe AD: 17,Very mild to mild AD:30Moderate to severe AD:32,Very mild to mild AD: (73.57 ± 6.49)Moderate to severe AD:(73.61 ± 4.76),Very mild to mild AD:(23.84 ± 3.90)Moderate to severe AD:(15.49 ± 4.87),–,–,–,–,–
Zhao et al. (???),China,ADNI database,45,22,23,(72.6 ± 7.1),(21.24 ± 3.44),45,20,25,(74.3 ± 8.4),(28.45 ± 1.82)
Zheng et al. (???),China,"Subjects scanned at Xuanwu Hospital, China",40,18,22,(65 ± 10.0),8–20(14.00 ± 6.00),30,15,15,(64 ± 8.0),26–30(28.00 ± 2.00)
Jin et al. (???)???,China,Multicenter rs‐fMRI study (6 different scanners)F18‐AV‐45 PET scans from ADNI database were used for correlation analysis,252291,,,,,215334,,,,
