Author (year),Country,Dataset/patient source,Total MCI,MCI M,MCI F,MCI age range (mean ± SD),MCI MMSE range (mean ± SD),Total HC,HC M,HC F,HC age range (mean ± SD),MMSE range (mean ± SD)
Koch et al. (???)???,Germany,Prospective case control study (site:NA),38,7,10,60.4–89.0 (74.6 ± 7.0),,21,10,11,56.4–83.0 (68.6 ± 7.3),
Wee et al. (???),USA,*BIAC,10,5,5,(74.2 ± 8.6),(28.4 ± 1.5),17,8,9,72.1 ± 8.2,(29.4 ± 0.9)
Jiang et al. (???)???,USA,ADNI database,100,,,,,50,,,,
Y. Li et al. (???),USA,*BIAC,12,,,,,25,,,,
Zhu et al. (???),USA,*BIAC,Dataset 1:10Dataset 2:12,− 5− 5,− 5− 7,55–84 (74.2 ± 6 8.6)68–84 (78.1 ± 4.8),26–30 (28.4 ± 1.5)19–28 (25.5 ± 2.5),Dataset 1:10Dataset 2:12,− 1− 2,− 9− 10,55–82 (67.7 ± 8.1)66–81 (72.3 ± 5.1),29–30 (29.8 ± 0.4)25–30 (28.3 ± 1.7)
Challis et al. (???)???,UK,Prospective case control study (site: NA),50,5,22,(66 ± 7.0),(26 ± 4.0),39,21,18,(63 ± 9.0),(26 ± 9.0)
"Lee, Ratnarajah, et al. (???)???",South Korea,Prospective case control study (site: Samsung Medical Center),37,,,,,22,,,,
Suk et al. (???),USA,*BIAC,12,6,6,75.0 ± 8.0,28.5 ± 1.5,25,9,16,72.9 ± 7.9,29.3 ± 1.1
Chen et al. (???),"USA, South Korea",ADNI database,54,,,,,54,,,,
de Marco et al. (???),Italy,Subject from a Venetian lagoon,50,25,25,(73.86 ± 6.31),(27.46 ± 1.92),50,19,31,(69.54 ± 5.88),(28.98 ± 1.32)
Hojjati et al. (???),Iran,ADNI database,MCI‐C:18MCI‐NC:62,MCI‐C: 11MCI‐NC:28,MCI‐C:7MCI‐NC:34,MCI‐C: 73.6 ± 15.7MCI‐NC: 73.0 ± 16.3,MCI‐C: 26.0 ± 2.0MCI‐NC: 27.0 ± 3.0,–,–,–,–,–
Khazaee et al. (???)???,Iran,ADNI database,89,43,46,(71.77 ± 7.78),(27.56 ± 2.20),45,19,26,(75.90 ± 6.79),(28.95 ± 1.56)
Son et al. (???)???,South Korea,ADNI database,40,19,21,(74.30 ± 7.67),(27.55 ± 2.15),35,12,23,(76.06 ± 7.38),(29.43 ± 1.14)
Teipel et al. (???)???,Germany,Datasets from five different centers of the “German resting‐state initiative for diagnostic biomarkers” (psymri.org),115,56,59,(72.6 ± 8.0),(26.7 ± 1.8),151,69,82,(69.0 ± 7.8),(28.9 ± 1.0)
Yu et al. (???),"China, USA",ADNI database,50,,,,,49,,,,
Zhang et al. (???),USA,ADNI database,29,16,13,(73.7 ± 4.8),,30,13,17,(74.4 ± 5.7),
Hojjati et al. (???),Iran,ADNI database,MCI‐C:18MCI‐NC:62,MCI‐C: 11MCI‐NC: 28,MCI‐C: 7MCI‐NC: 34,MCI‐C: (73.6 ± 15.7)MCI‐NC: (73.0 ± 16.3),MCI‐C: (26.0 ± 2.0)MCI‐NC: (27 ± 3.0),–,–,–,–,–
Qian et al. (???),China,ADNI databases,37,16,21,72.35 ± 8.78,27.70 ± 1.97,32,14,18,75.63 ± 5.70,28.65 ± 2.01
Hojjati et al. (???)???,Iran,ADNI database,MCI‐C:25MCI‐NC:69,MCI‐C:14MCI‐NC:32,MCI‐C:11MCI‐NC:37,MCI‐C: 73.02 ± 11.80MCI‐NC: 72.95 ± 11.92,MCI‐C: 26.64 ± 1.85MCI‐NC: 27.57 ± 2.21,49,21,28,74.47 ± 7.68,29.35 ± 1.63
Lisowska and Rekik (???),UK,ADNI database,Early MCI: 42,,,70.4 ± 7.5,,HC: 42,,,74.1 ± 6.7,
Jin et al. (???)???,China,Multicenter rs‐fMRI study (6 different scanners)F18‐AV‐45 PET scans of AD and HC from ADNI database were used for correlation analysis,221,,,,,215,,,,
Liu et al. (???),China,ADNI database,Late MCI:105Early MCI:105,Late MCI: 35Early MCI: 49,Late MCI: 70Early MCI: 56,Late MCI: 75.8 ± 6.3Early MCI: 76.3 ± 5.4,Late MCI: 26.6 ± 2.2Early MCI: 27.5 ± 1.8,105,54,51,77.1 ± 6.3,29.1 ± 1.1
Zhang et al. (???),UK,ADNI database,82,36,57,71.61 ± 5.1,28.88 ± 1.46,93,46,36,70.47 ± 5.91,27.89 ± 1.82
