Anatomical,Hemisphere,Cluster voxels,"MNI(x, y, z)",T
PerN,PerN,PerN,PerN,PerN
VLA,L,55,"(−27, −3, −18)",57.36
VLA,R,35,"(26, −3, −21)",58.27
medial OFC,L,110,"(−6, 48, −12)",14.22
medial OFC,R,87,"(6, 48, −12)",15.06
lOFC,L,293,"(−31, 30, −18)",49.62
lOFC,R,297,"(36, 32, −18)",50.44
FFA,L,288,"(−31, −33, −20)",16.10
FFA,R,350,"(35, −34, −21)",18.44
rSTS,L,374,"(−52, −4, 21)",13.66
ventralmedial temporal cortex,L,154,"(−12, −27, 0)",14.65
ventralmedial temporal cortex,R,148,"(12, −22, 6)",14.68
temporal pole,L,160,"(−51, 9, −18)",17.09
temporal pole,R,157,"(49, 9, −16)",18.18
subgenual ACC,R,161,"(−6, 0, 30)",13.38
AffN,AffN,AffN,AffN,AffN
MedA,L,86,"(−15, −3, −18)",42.99
MedA,R,69,"(14, −3, −20)",30.76
VMPFC,L/R,203,"(0, 32, −13)",43.25
ventral medial striatum,L,83,"(−11, 12, −9)",8.10
ventral medial striatum,R,174,"(9, 12, −11)",10.42
ventral medial hypothalamus,L,25,"(3, −5, −16)",9.35
ACC,L,121,"(−3, 45, 0)",29.72
dorsomedial temporal pole,L,40,"(−24, −14, −22)",12.11
dorsomedial temporal pole,R,37,"(33, −15, −21)",10.55
medial temporal lobe,L,420,"(−54, −60, 3)",10.39
medial temporal lobe,R,446,"(50, −61, 3)",7.44
AveN,AveN,AveN,AveN,AveN
DorA,L,45,"(−18, −3, −12)",48.85
DorA,R,24,"(21, −3, −15)",58.38
cACC,L/R,247,"(0, 15, 33)",45.07
anterior insula,L,178,"(−33, 9, 3)",31.27
anterior insula,R,147,"(33, 12, −16)",13.87
somatosensory operculum,L,337,"(−6, −6, 63)",20.66
somatosensory operculum,R,423,"(3, −3, 63)",11.70
ventrolateral striatum,L,127,"(−27, −3, 12)",18.66
ventrolateral striatum,R,135,"(27, 3, 9)",17.29
caudolateral hypothalamus,R,40,"(3, −6, −12)",12.58
thalamus,R,83,"(3, −15, 3)",17.84
brainstem,L,239,"(−6, −24, −33)",10.58
