Unnamed: 0_level_0,Unnamed: 1_level_0,VAS M (SD),VAS M (SD),VAS M (SD),VAS M (SD),VAS M (SD),VAS M (SD)
Time,iTBS,Fatigue,Vigor,Anger,Tension,Depression,Cheerfulness
T1,Active,3.56 (2.24),5.81 (2.17),0.73 (1.01),2.34 (2.01),0.31 (0.46),6.20 (1.95)
T1,Sham,3.54 (2.47),6.04 (2.00),0.83 (1.24),2.35 (2.15),0.23 (0.25),6.33 (2.19)
T2,Active,3.85 (2.11),5.57 (2.26),0.59 (1.16),1.67 (1.81),0.30 (0.34),6.03 (2.10)
T2,Sham,3.76 (2.10),5.55 (2.21),0.38 (0.41),1.60 (1.94),0.24 (0.27),6.46 (1.88)
T3,Active,3.83 (2.17),5.56 (2.22),0.66 (1.61),1.31 (1.47),0.21 (0.20),6.07 (1.94)
T3,Sham,3.40 (2.25),5.70 (2.08),0.61 (0.97),1.47 (1.97),0.47 (1.31),6.20 (2.14)
T4,Active,3.65 (2.18),5.54 (2.31),0.32 (0.48),1.45 (1.90),0.25 (0.25),6.21 (2.10)
T4,Sham,4.22 (2.60),5.48 (2.48),0.43 (0.60),1.31 (1.98),0.38 (1.27),6.29 (2.34)
T5,Active,3.82 (2.18),5.97 (2.24),0.34 (0.40),1.05 (1.43),0.23 (0.29),6.02 (2.48)
T5,Sham,4.03 (2.60),5.95 (2.44),0.57 (1.15),1.00 (1.84),0.40 (1.27),6.15 (2.42)
