ROI #,MNI,Brodmann Area,Hemisphere,Area
1,"52,24,12",44/45,Right,Inferior Frontal Gyrus (IFG)
2,"63,18,18",44/45,Right,Inferior Frontal Gyrus (IFG)
3,"40,35,6",46,Right,Inferior Frontal Gyrus (IFG)
4,"48,4,10",6,Right,Inferior Frontal Gyrus (IFG)
5,"6,-18,57",6,Right,Medial Frontal Gyrus (MFG)
6,"3,-18,57",6,Right,Superior Frontal Gyrus (SFG)
7,"2,2,62",6,Right,Superior Frontal Gyrus (SFG)
8,"-12,-26,66",4,Left,Superomedial M1
9,"12,-24,66",4,Right,Superomedial M1
10,"-2,-16,68",6,Left,Supplementary Motor Area (SMA)
11,"4,-6,64",6,Right,Supplementary Motor Area (SMA)
12,"40,38,38",9,Right,Dorsolateral Prefrontal Cortex (dlPFC)
13,"52,38,12",46,Right,Dorsolateral Prefrontal Cortex (dlPFC)
