Unnamed: 0,HC (N = 31),AD (N = 29),DLB (N = 31),Between-group differences
Male: female,22:9,20:9,19:12,"χ2 = 0.73, p = 0.70???"
Study 1: study 2,15:16,13:16,12:19,"χ2 = 0.60, p = 0.74???"
Age,76.4 (7.2),75.2 (8.6),78.1 (6.7),"F2,88 = 1.16, p = 0.32???"
AChEI,–,26,28,"χ2 = 0.007, p = 0.93???"
PD meds,–,1,18,"χ2 = 20.66, p < 0.001???"
Duration,–,3.7 (1.7)???,3.4 (2.3),"U = 339, p = 0.14???"
MMSE,28.9 (1.1),21.8 (3.8),22.0 (4.3),"t58 = 0.20, p = 0.85???"
CAMCOG,96.7 (3.2),70.3 (13.5),73.3 (13.6),"t58 = 0.86, p = 0.39???"
UPDRS III,1.94 (2.8),3.5 (4.0),18.1 (10.0),"t58 = 7.32, p < 0.001???"
CAF total,–,1.00 (2.5)???,4.8 (4.9)???,"t56 = 3.66, p = 0.001???"
NPI total,–,5.9 (5.5)???,14.6 (11.0)???,"t54 = 3.68, p = 0.001???"
NPI hall,–,0???,1.6 (1.8)???,"t53 = 4.53, p < 0.001???"
