Trigger sounds,Unpleasant sounds,Neutral sounds
Apple crunching,Baby crying,Busy cafe
Coughing and sniffing,Belch sound,Fan sound
Crisps eating,Buzzer sound,Faucet sound
Breathing sound,Buzzing bees,Hair dryer sound
Cutlery sounds,Dentist drill,Helicopter sound
Eating food sound 1,Female crying,Kettle boiling
Eating food sound 2,Male crying,Toilet flush
Eating salad and cutlery,Multiple dogs barking,Traffic sound
Gulping water,Vomit sound,Vacuum cleaner
Slurping,Multiple infants crying,Washing machine
Eating with slurping,Alarm sound,Rain sound
Sniffing,Toddler crying,Shower sound
Chewing,Jack hammer,Phone ringing
Packet opening and eating,Female scream,Brushing teeth
