Region name,MNI coordinates (mm) of the maxima,No. of voxels,t value at the maxima
Stronger connectivity to right V2 in misophonia compared with controls,,,
Right vPMC,"58, 0, 24",221.0,4.34
Right anterior insula,"34, 2,10",180.0,4.88
Right parietal operculum/PT,"30, −34, 20",136.0,4.94
Stronger connectivity to left V1 in misophonia compared with controls,,,
Right anterior insula,"42, 8, −10",169.0,4.51
Left planum polare/STG,"−60, 6, −4",118.0,4.84
"Lateral occipital cortex, occipital pole","22, −84, 14",978.0,5.57
Stronger connectivity to right vPMC in misophonia compared with controls,,,
"Occipital cortex, middle temporal gyrus","40, −64, 2",342.0,5.78
Brainstem,"−2, −10, −34",230.0,6.91
Fusiform gyrus,"24, −72, −12",204.0,5.03
"Anterior insula, planum polare, STG","42, 6, −6",165.0,4.64
Stronger connectivity to the left anterior insula in misophonia compared with controls,,,
Motor/somatosensory cortex (M1/S1),"−18, −16, 78",383.0,4.82
Cerebellum (lobule 6),"28, −54, −22",150.0,5.24
