Brain Region,Side,Cluster size (voxels),t‐value,Peak MNI coordinate (mm),Peak MNI coordinate (mm),Peak MNI coordinate (mm)
Brain Region,Side,Cluster size (voxels),t‐value,x,y,z
Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain
Supplementary motor area,R,33,10.838,2,6,70
Middle frontal gyrus,L,71,5.441,−24,24,44
Fusiform,R,37,6.802,38,−14,−38
Pons,L,58,6.470,0,−32,−22
Thalamus,L/R,692,16.348,2,−24,2
Medial orbitofrontal cortex,L,68,8.595,−4,56,−4
Inferior temporal gyrus,R,70,7.965,54,−10,−30
Insular,R,26,5.602,34,22,8
Medial prefrontal cortex,R,686,7.159,12,42,14
Anterior cingulate cortex,L,27,8.206,−4,28,14
Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain
Fusiform,R,105,9.095,40,−12,−36
Pons,R,32,5.691,0,−36,−26
Thalamus,L/R,"1,042",17.662,4,−26,2
VTA,L,202,8.673,−6,−16,−14
Anterior cingulate cortex,L,126,5.480,−2,44,16
Inferior temporal gyrus,R,116,6.201,52,−12,−42
Precuneus,L,34,6.578,−8,−70,62
Caudate,L,139,5.319,−10,5,10
Anterior cingulate cortex,R,210,6.427,8,6,32
Hippocampus,L,59,5.673,−22,−30,8
Middle frontal gyrus,L,209,7.312,−22,24,44
Posterior cingulate cortex,R,100,5.742,6,−22,36
Medial prefrontal cortex,L,193,6.479,−10,42,34
Superior frontal gyrus,L,70,6.119,−22,42,28
