ROI,SCH vs HC,Brain areas (L/R),Cluster size (voxels),Peak coordinates (MNI),Peak coordinates (MNI).1,Peak coordinates (MNI).2,T value
,,,,x,y,z,
sFC,sFC,,,,,,
Habenula _L,Cluster1(+),"Middle temporal gyrus(L), superior temporal gyrus(L)",633.0,"36,","−72,",33,4.69
,Cluster2(+),"Middle temporal gyrus(R), superior temporal gyrus(R)",620.0,"−39,","−57,",12,5.30
,Cluster3(+),Temporal pole(R),218.0,"48,","6,",−30,5.17
Habenula _R,Cluster1(+),"Middle temporal gyrus(L), superior temporal gyrus(L), angular gyrus(L)",380.0,"−60,","−45,",15,5.04
dFC,dFC,,,,,,
Habenula_L,Cluster1(−),"Cuneus gyrus(L/R), Calcarine gyrus(L/R)",134.0,"−3,","−81,",33,−3.71
