Unnamed: 0_level_0,Unnamed: 1_level_0,Peak coordinates,Peak coordinates,Peak coordinates,Unnamed: 5_level_0
Unnamed: 0_level_1,Region,X,Y,Z,Volume (voxels)
MBSR vs HEP* (T2–T1),Right inferior temporal gyrus (P < 0.05),56,−40,−18,218
Right supramarginal gyrus,52,−34,58,3746,
Right inferior temporal gyrus,56,−40,−18,1849,
Left postcentral gyrus,−36,−32,50,941,
Right IFG,44,12,20,826,
Right supplementary motor cortex,4,8,58,217,
Left precentral gyrus,−36,4,22,130,
Left inferior temporal gyrus,−46,−56,−12,123,
MBSR vs WL* (T2–T1),Right anterior cingulate gyrus,8,−8,34,968
Left precentral gyrus,−36,4,22,299,
Left insula,−42,2,0,271,
Right postcentral gyrus,24,−32,42,231,
Left inferior frontal gyrus,−50,32,10,134,
Left insula,−36,4,−16,109,
Right middle temporal gyrus,60,−24,−14,102,
MBSR (T2-T1),Right postcentral gyrus,50,−32,56,25 200
Left middle temporal gyrus,−42,−60,−10,769,
Left putamen,−30,2,8,197,
Left fusiform cortex,−18,−76,−14,160,
