Scan,Covariates,Sub-sample percentiles (B),Sub-sample percentiles (B)
Scan,Covariates,2.5 percentile,97.5 percentile
Salience network,Salience network,Salience network,Salience network
Resting state,Model 1,−0.268,−0.015
Resting state,Model 2,−0.254,−0.013
Task: PVN,Model 1,−0.235,0.243
Task: PVN,Model 2,−0.254,0.244
Task: NVN,Model 1,−0.109,0.161
Task: NVN,Model 2,−0.126,0.158
Default mode network,Default mode network,Default mode network,Default mode network
Resting state,Model 1,−0.387,−0.131
Resting state,Model 2,−0.344,−0.084
Task: PVN,Model 1,−0.262,0.012
Task: PVN,Model 2,−0.282,0.006
Task: NVN,Model 1,−0.444,−0.009
Task: NVN,Model 2,−0.474,−0.053
