Unnamed: 0,No SI (n = 7588),Past SI (n = 496),Current SI (n = 164),p value
"Age in months, M (s.d.)",119.21 (7.52),119.65 (7.58),117.63 (6.89),0.01
"Total income, M (s.d.)???",7.38 (2.34),7.35 (2.22),6.91 (2.53),0.04
"Sex, N (%)",,,,0.03
Male,3825 (50.41),267 (53.83),97 (59.14),
Female,3763 (49.59),229 (46.17),67 (40.85),
"Race/Ethnicity, N (%)???",,,,
White,5979 (78.80),384 (77.42),121 (73.78),0.24
Black/African American,1333 (17.57),100 (20.16),32 (19.51),0.29
Native American,233 (3.07),24 (4.84),9 (5.49),0.02
Asian,522 (6.88),38 (7.66),13 (7.93),0.71
Other race,451 (5.94),24 (4.84),11 (6.71),0.54
Hispanic/Latinx,1475 (19.44),74 (14.92),41 (25.00),0.01
Antidepressant Medication,109 (1.44),36 (7.26),6 (3.66),<0.001
Stimulant medication,528 (6.96),61 (12.30),18 (10.98),<0.001
"MDD past, N (%)",87 (1.15),34 (6.85),10 (6.10),< 0.001
"MDD current, N (%)",31 (0.41),7 (1.41),13 (7.93),< 0.001
"ADHD past, N (%)",639 (8.42),75 (15.12),24 (14.63),< 0.001
"ADHD current, N (%)",735 (9.69),75 (15.12),27 (16.46),< 0.001
"Sibling, N (%)???",1943 (25.61),26 (5.24),6 (3.66),< 0.001
"Twin, N (%)???",1087 (15.22),8 (1.61),5 (3.05),< 0.001
