Brain region,BA,Volume (mm3),MNI coordinates,MNI coordinates,MNI coordinates,T value,Z value
Brain region,BA,Volume (mm3),X,Y,Z,T value,Z value
Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask
SupraMarginal_R,40,"1,242",63,−36,33,4.94,3.70
Bilateral precuneus,23,"1,242",−3,−69,27,4.61,3.54
Supp_Motor_Area_L,8,"1,053",−12,15,63,5.04,3.74
Parietal_Inf_L,40,"1,053",−48,−48,51,3.62,2.99
Frontal_Mid_R,46,621,39,54,15,4.09,3.26
Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask
Lingual_R,18,"3,699",17,−74,−13,4.66,3.56
Lingual_L,18,"3,132",−19,−75,−11,4.74,3.60
Calcarine_R,17,"2,808",9,−78,3,3.29,2.79
Calcarine_L,17,"2,295",−7,−86,−1,3.26,2.77
Fusiform_R,37,"1,323",27,−54,−15,6.52,4.35
Temporal_Sup_L,48,972,−48,−6,−3,5.62,4.00
Cingulum_Ant,24,594,2,24,25,4.51,3.49
