Unnamed: 0,Patients-A,Patients-B,P-value
Demographic,Demographic,Demographic,Demographic
Age,36.8 ± 12.8,32.3 ± 13.6,0.143
Gender (M/F),15/10,8/13,0.246
Education,8.6 ± 4.3,9.7 ± 4.6,0.33
Neuropsychological test,Neuropsychological test,Neuropsychological test,Neuropsychological test
TMT A,60.0 ± 50.2,59.6 ± 38.9,0.991
FDS,7.8 ± 1.5,8.2 ± 1.9,0.571
BDS,3.8 ± 1.2,4.3 ± 2.0,0.449
LF,17.1 ± 5.2,17.7 ± 5.8,0.808
DSC,39.4 ± 15.5,37.0 ± 17.7,0.604
Self-report measures,Self-report measures,Self-report measures,Self-report measures
PCS,10.2 ± 5.6,11.6 ± 9.1,0.956
PCL-C,25.1 ± 4.5,25.5 ± 8.7,0.611
FSS,10.2 ± 5.6,11.6 ± 9.1,0.053
BDI,4.3 ± 2.8,4.9 ± 4.3,0.807
ISI,7.4 ± 5.8,7.5 ± 7.1,0.649
mTBI severity (N%),mTBI severity (N%),mTBI severity (N%),mTBI severity (N%)
GCS = 15,25 (100%),21 (100%),
"GCS = 13, 14",0 (0%),0 (0%),
