Unnamed: 0,mTBI patients,Controls,P-value
Demographic,Demographic,Demographic,Demographic
Age,34.7 ± 13.2,35.9 ± 12.3,0.494
Gender (M/F),23/23,21/25,0.678
Education,9.1 ± 4.4,11.1 ± 5.9,0.053
Neuropsychological test,Neuropsychological test,Neuropsychological test,Neuropsychological test
TMT A,59.8 ± 44.9,39.5 ± 22.4,0.019
FDS,7.9 ± 1.7,8.3 ± 1.6,0.289
BDS,4.0 ± 1.6,4.5 ± 2.0,0.336
VF,17.4 ± 5.4,18.5 ± 6.1,0.362
DSC,38.3 ± 16.4,45.9 ± 17.2,0.016
Self-report measures,Self-report measures,Self-report measures,Self-report measures
PCS,10.8 ± 7.4,2.6 ± 3.0,< 0.001???
PCL-C,25.3 ± 6.6,17.0 ± 0.0,< 0.001???
FSS,10.4 ± 5.9,9.0 ± 0.0,0.080
BDI,4.6 ± 3.55,0.0 ± 0.2,< 0.001???
ISI,7.4 ± 6.4,1.8 ± 3.1,< 0.001???
MTBI severity (N%),MTBI severity (N%),MTBI severity (N%),MTBI severity (N%)
GCS = 15,46 (100%),,
"GCS = 13, 14",0 (0%),,
