Unnamed: 0,ROIs,Brain regions,MNI coordinates (x/y/z mm),MNI coordinates (x/y/z mm).1,MNI coordinates (x/y/z mm).2,Cluster size,Peak T
A,SFG.R,CAL.R,9,−72,15,88,−4.089
B,SFG.R,MFG.R,24,21,54,62,−4.816
C,RSC/PCC.L,SOG/CAL.R,21,−81,21,131,−5.054
D,RSC/PCC.L,PCUN.L,−15,−60,48,65,−4.264
E,PHG.L,CUN.R,0,−75,21,113,−4.111
F,RSC/PCC.R,SOG/CAL.R,21,−81,24,120,−4.397
G,RSC/PCC.R,PCUN.L,−15,−57,48,128,−4.519
H,RSC/PCC.R,PCUN.R,6,−54,54,58,−4.145
