Unnamed: 0,cTBS group,Sham group,Test statistic,p
Total n,15,14,,
"Sex, M/F",13/2,11/3,χ2 = 0.528,0.768
"Mean age, years",65.13 (11.26),66.33 (13.77),t = −0.745,0.475
"Time since stroke, days",42.80 (12.91),55.50 (21.93),t = 0.547,0.592
"Aphasia type, n (%)",,,,
Broca’s,5 (33%),3 (21%),,
Wernicke’s,4 (27%),3 (21%),,
Global,6 (40%),8 (58%),,
"Lesion location, n (%)",,,,
Anterior MCA,3 (20%),2 (14%),,
Posterior MCA,4 (27%),5 (36%),,
Anterior and posterior MCA,6 (40%),6 (43%),,
Subcortical,2 (13%),1 (7%),,
Initial aphasia scores,,,,
WAB-AQ,22.99 (13.24),17.38 (11.14),t = 1.265,0.217
Spontaneous speech,3.67 (2.35),2.76 (2.49),t = 1.012,0.32
Comprehension,3.50 (2.09),2.66 (1.98),t = 1.103,0.28
Naming,1.68 (1.85),0.98 (0.43),t = 1.379,0.179
Repetition,2.72 (2.05),2.31 (2.18),t = 0.516,0.61
"Time between assessments, days",17 (0.85),16.71 (0.99),t = 0.836,0.411
