Unnamed: 0_level_0,Unnamed: 1_level_0,Experiment 1,Experiment 1,Experiment 2,Experiment 2
Variables,Categories,SCZ (n = 21),HC (n = 21),SCZ (n = 20),HC (n = 20)
"Age, y",,37.6 ± 7.9,34.4 ± 7.2,37.9 ± 7.1,34.4 ± 6.5
"Education, y",,13.7 ± 2.5,14.6 ± 3.5,14.0 ± 2.6,14.3 ± 3.6
"Gender, no. (%)",Male,16 (76.2%),16 (76.2%),15 (75.0%),16 (80.0%)
"Gender, no. (%)",Female,5 (23.8%),5 (23.8%),5 (25.0%),4 (20.0%)
"Ethnicity, no. (%)",Han,18 (85.7%),21 (100%),18 (90.0%),20 (100%)
"Ethnicity, no. (%)",Minority,3 (14.3%),0 (0%),2 (10.0%),0 (0%)
"Onset‐age of SCZ, y",,22.0 ± 6.8,,21.9 ± 6.9,
"Duration of SCZ, y",,15.9 ± 8.0,,16.6 ± 7.8,
Positive symptoms,,13.2 ± 5.2,,13.3 ± 5.1,
Negative symptoms,,16.4 ± 7.5,,16.1 ± 7.6,
General psychosis,,25.7 ± 5.9,,24.9 ± 5.2,
PANSS,,55.3 ± 12.9,,54.3 ± 13.1,
"Personal/family history of psychosis, no. (%)",,0 (0%),0 (0%),0 (0%),0 (0%)
"Duration of smoke, y",,11.1 ± 6.7 (n = 9),14.4 ± 9.9 (n = 7),9.3 ± 5.4 (n = 10),14.4 ± 9.9 (n = 7)
"Daily dose of smoke, no.",,8.7 ± 7.6,10.0 ± 9.5,8.3 ± 7.3,10.0 ± 9.5
"Antipsychotic dosage,??? mg",,608.5 ± 262.9,,659.5 ± 269.7,
"First‐generation antipsychotic,??? no. (%)",,2 (9.5%),,2 (10.0%),
"Second‐generation antipsychotic,??? no. (%)",,19(90.5%),,18(90.0%),
