Features,Variables,SCZ (n = 21),HC (n = 21)
Perceived intensities,Nociceptive,3.7 ± 1.4,5.4 ± 1.5
Perceived intensities,Non‐nociceptive somatosensory,4.4 ± 1.4,5.1 ± 1.6
Perceived intensities,Auditory,4.2 ± 1.6,4.8 ± 1.6
LEP responses,N1 latency (ms),206.0 ± 27.9,174.6 ± 27.7
LEP responses,N1 amplitude (μV),−1.4 ± 1.1,−6.6 ± 5.9
LEP responses,N2 latency (ms),254.1 ± 41.0,217.1 ± 31.5
LEP responses,N2 amplitude (μV),−4.5 ± 2.4,−16.1 ± 12.5
LEP responses,P2 latency (ms),397.3 ± 41.3,356.0 ± 49.7
LEP responses,P2 amplitude (μV),4.3 ± 4.3,15.9 ± 13.4
SEP responses,N2 latency (ms),127.4 ± 40.6,119.9 ± 9.6
SEP responses,N2 amplitude (μV),−9.2 ± 6.9,−19.9 ± 10.3
SEP responses,P2 latency (ms),260.3 ± 32.9,256.0 ± 41.7
SEP responses,P2 amplitude (μV),23.4 ± 8.6,28.3 ± 14.6
AEP responses,N2 latency (ms),141.3 ± 9.9,142.4 ± 12.5
AEP responses,N2 amplitude (μV),−14.8 ± 8.4,−23.5 ± 7.6
AEP responses,P2 latency (ms),260.9 ± 43.8,240.0 ± 29.3
AEP responses,P2 amplitude (μV),18.7 ± 7.9,17.6 ± 6.9
