Denoising pipelines,Head motion parameters,Tissue‐based regressors,GSR,Censoring
6H,6,–,–,–
12H,12,–,–,–
24H,24,–,–,–
6H + 2W,6,Mean WM/CSF,–,–
12H + 2W,12,Mean WM/CSF,–,–
24H + 2W,24,Mean WM/CSF,–,–
24H + 4W,24,4 mean WM/CSF,–,–
24H + 8W,24,8 mean WM/CSF,–,–
6H + aCC,6,aCompCor,–,–
12H + aCC,12,aCompCor,–,–
24H + aCC,24,aCompCor,–,–
6H + 2W + spike,6,Mean WM/CSF,–,Spike
6H + 2W + scrub,6,Mean WM/CSF,–,Scrub
12H + 2W + spike,12,Mean WM/CSF,–,Spike
12H + 2W + scrub,12,Mean WM/CSF,–,Scrub
24H + 2W + spike,24,Mean WM/CSF,–,Spike
24H + 2W + scrub,24,Mean WM/CSF,–,Scrub
6H + 2W + GSR,6,Mean WM/CSF,1,–
12H + 2W + GSR,12,Mean WM/CSF,1,–
24H + 2W + GSR,24,Mean WM/CSF,1,–
24H + 4W + GSR,24,4 mean WM/CSF,1,–
24H + 8W + 4GSR,24,8 mean WM/CSF,4,–
6H + aCC + GSR,6,aCompCor,1,–
12H + aCC + GSR,12,aCompCor,1,–
24H + aCC + GSR,24,aCompCor,1,–
6H + 2W + GSR + spike,6,Mean WM/CSF,1,Spike
6H + 2W + GSR + scrub,6,Mean WM/CSF,1,Scrub
12H + 2W + GSR + spike,12,Mean WM/CSF,1,Spike
12H + 2W + GSR + scrub,12,Mean WM/CSF,1,Scrub
24H + 2W + GSR + spike,24,Mean WM/CSF,1,Spike
24H + 2W + GSR + scrub,24,Mean WM/CSF,1,Scrub
ICA‐AROMA+2W,–,Mean WM/CSF,–,–
ICA‐AROMA+2W + GSR,–,Mean WM/CSF,1,–
