Unnamed: 0_level_0,NYU,NYU,NYU,SDSU,SDSU,SDSU,UCLA,UCLA,UCLA,UM,UM,UM
Unnamed: 0_level_1,ASD,TD,Stats (p/t),ASD,TD,Stats (p/t),ASD,TD,Stats (p/t),ASD,TD,Stats (p/t)
n,44,44,–,36,36,–,38,38,–,34,34,–
Male/female,38/6,38/6,–,32/4,29/7,–,37/1,31/7,–,28/6,28/6,–
Age (mean ± SD),13.0 ± 2.5,13.7 ± 2.4,0.24/−1.2,14.3 ± 2.5,14.2 ± 2.1,0.72/0.4,13.6 ± 2.3,13.3 ± 1.6,0.63/0.49,14.6 ± 1.9,14.7 ± 2.5,0.78/−0.3
IQ (mean ± SD),102.0 ± 13.6,113.1 ± 15.0,0.00/−3.7*,104.7 ± 16.1,104.2 ± 11.2,0.87/0.2,103.4 ± 13.0,106.8 ± 10.5,0.21/–1.3,109.3 ± 15.8,109.6 ± 10.4,0.93/–1.0
Handedness (R/L/A),–,–,–,29/5/2,31/3/2,–,33/5/0,35/3/0,–,25/5/0,29/4/0,–
"ADI social (mean ± SD, n)",19.9 ± 6.2 (41),–,–,18.3 ± 4.2 (34),–,–,20.8 ± 4.6 (28),–,–,19.5 ± 4.7 (34),–,–
"ADI verbal (mean ± SD, n)",15.7 ± 4.7 (42),–,–,13.1 ± 4.8 (34),–,–,16.6 ± 4.4 (28),–,–,15.8 ± 3.2 (34),–,–
"ADI RRB (mean ± SD, n)",5.8 ± 2.8 (42),–,–,5.8 ± 2.3 (34),–,–,7.4 ± 2.0 (28),–,–,5.9 ± 2.5 (34),–,–
"ADOS total (mean ± SD, n)",11.6 ± 4.0 (44),–,–,13.5 ± 5.0 (35),–,–,11.6 ± 3.8 (36),–,–,11.3 ± 4.6 (41),–,–
"SRS (mean ± SD, n)",91.3 ± 32.8 (43),24.2 ± 13.3 (39),0.00/11.9*,101.7 ± 22.8 (24),21.1 ± 10.9 (18),0.00/13.8*,–,–,–,–,–,–
N medicated (n reporting),10 (42),0 (44),–,13 (36),0 (36),–,20 (38),1 (38),–,15 (34),1 (33),–
Mean FD (mean ± SD),0.15 ± 0.05,0.14 ± 0.04,0.32/1.0,0.12 ± 0.06,0.12 ± 0.06,0.90/1.0,0.16 ± 0.06,0.14 ± 0.07,0.18/1.4,0.17 ± 0.06,0.15 ± 0.05,0.41/0.8
Mean translation (mean ± SD),0.16 ± 0.09,0.19 ± 0.15,0.26/−1.1,0.13 ± 0.07,0.14 ± 0.10,0.69/−0.4,0.15 ± 0.08,0.14 ± 0.09,0.71/0.4,0.27 ± 0.19,0.22 ± 0.11,0.20/1.3
Mean rotation (mean ± SD),0.003 ± 0.002,0.004 ± 0.002,0.20/−1.3,0.003 ± 0.002,0.003 ± 0.002,0.66/−0.4,0.003 ± 0.001,0.003 ± 0.002,0.76/0.3,0.005 ± 0.004,0.004 ± 0.003,0.60/0.5
Scrubbed volumes (mean ± SD),36.3 ± 23.8,34.5 ± 23.5,0.73/0.4,25.7 ± 20.5,24.4 ± 24.8,0.82/0.2,29.1 ± 17.5,22.9 ± 16.5,0.12/1.6,66.9 ± 47.1,59.6 ± 36.5,0.48/0.7
