Unnamed: 0,Precun/PCC,mPrefrontal,Lparietal,Rparietal,Ltemporal,Rtemporal,mdThalamus
Precun/PCC,−,−0.19,−0.20,−0.20,−0.41???,−0.48???,−0.17
mPrefrontal,−0.19,−,−0.13,−0.27,−0.21,−0.39,−0.17
Lparietal,−0.20,−0.13,−,−0.26,−0.38,−0.38,−0.07
Rparietal,−0.20,−0.27,−0.26,−,−0.23,−0.23,−0.14
Ltemporal,−0.41???,−0.21,−0.38,−0.23,−,−0.14,0.24
Rtemporal,−0.48???,−0.39,−0.38,−0.23,−0.14,−,−0.29
mdThalamus,−0.17,−0.17,−0.07,−0.14,0.24,−0.29,−
