Unnamed: 0,Criteria,Frequency,Mean (SD)
Emotional abuse,None (5–8),100,6.61 (2.00)
Emotional abuse,Low (9–12),13,6.61 (2.00)
Emotional abuse,Moderate (13–15),2,6.61 (2.00)
Emotional abuse,Severe (16+),0,6.61 (2.00)
Emotional neglect,None (5–9),62,9.40 (3.37)
Emotional neglect,Low (10–14),46,9.40 (3.37)
Emotional neglect,Moderate (15–17),3,9.40 (3.37)
Emotional neglect,Severe (18+),4,9.40 (3.37)
Physical abuse,None (5–7),112,5.26 (1.00)
Physical abuse,Low (8–9),1,5.26 (1.00)
Physical abuse,Moderate (10–12),1,5.26 (1.00)
Physical abuse,Severe (13+),1,5.26 (1.00)
Physical neglect,None (5–7),92,6.41 (1.84)
Physical neglect,Low (8–9),17,6.41 (1.84)
Physical neglect,Moderate (10–12),4,6.41 (1.84)
Physical neglect,Severe (13+),2,6.41 (1.84)
Sexual abuse,None (5),108,5.11 (.45)
Sexual abuse,Low (6–7),7,5.11 (.45)
Sexual abuse,Moderate (8–12),0,5.11 (.45)
Sexual abuse,Severe (13+),0,5.11 (.45)
