Unnamed: 0_level_0,Healthy Controls (N = 40),Healthy Controls (N = 40),Any Addiction (N = 86),Any Addiction (N = 86),Alcohol (N = 36),Alcohol (N = 36),Nicotine (N = 34),Nicotine (N = 34),Cannabis (N = 16),Cannabis (N = 16)
Unnamed: 0_level_1,M,SD %,M,SD %,M,SD %,M,SD %,M,SD %
Age,33.62,8.27,39.6,11.65 **,43.67,10.94 B,38.82,11.84,32.13,8.99
Sex (% female),,50,,43,,36 A,,62,,19.0
Education (years),14.45,3.00,13.05,2.54 *,13.25,2.25,113.21,2.91,12.25,2.32
Addiction severity,,,,,,,,,,
ISR,,,6.13,1.13,6.5,0.66 A,5.65,1.37,6.31,1.08
Current comorbidity (%),,,,,,,,,,
Mood disorder,,-,,16,,25 A,,6,,19.0
Anxiety disorder,,-,,26,,19 B,,18 C,,56.0
Psychotic disorder,,-,,20,,8 A,,32,,19.0
Any current,-,,,29,,39,,44,,63.0
Neuropsychological tests,,,,,,,,,,
Stroop interference,15.50,15.19,6.77,21.33 ***,7.78,30.29,6.7,12.57,4.68,9.02
TMT BA time,24.01,18.16,40.23,48.00 ***,38.23,34.97,46.7,66.91,31.0,12.63
IGT net score,12.35,28.72,10.22,25.08,11.91,27.30,5.24,21.82,17.2,25.87
Verbal/phonemic fluency,23.28,5.68,23.2,6.99,23.5,6.38,23.13,7.66,22.73,7.21
EMA,,,,,,,,,,
Compliance,32.87,1.92,29.87,3.64 ***,30.61,2.96,29.88,3.22,28.19,5.26
Craving intensity,1.03,0.09,2.76,1.18,2.46,0.94 B,2.73,1.22,3.49,1.34
Use of treated substance,-,-,15.83,10.24,10.36,8.34 A,22.56,8.89 C,13.81,8.89
Use of any substance,1.90,2.35,23.01,8.66,23.5,8.98 A,23.35,8.67,21.19,8.16
