Cluster,Peaks,L/R,BA,MNI coordinates,MNI coordinates,MNI coordinates,Z
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
1.0,Supramarginal gyrus,L,40.0,-46.0,-26.0,38.0,3.68
,,L,40.0,-50.0,-24.0,40.0,3.63
,,L,40.0,-34.0,-36.0,44.0,3.41
,Angular gyrus,L,39.0,-50.0,-54.0,46.0,3.28
2.0,Postcentral gyrus,R,1.0,48.0,-24.0,40.0,3.98
,,R,1.0,60.0,-20.0,44.0,3.61
,,R,1.0,54.0,-26.0,54.0,3.43
,,R,1.0,38.0,-30.0,46.0,3.41
,Supramarginal gyrus,R,40.0,58.0,-36.0,58.0,3.75
,,R,40.0,58.0,-28.0,56.0,3.48
,,,,,,,
