Drug,FMRI pipeline,EEG metric,EEG band,Condition,R‐value,p‐value
Ketamine,SIMPLE,Power,Alpha,Predrug,.081,<.0001
Ketamine,SIMPLE,Power,Low‐beta,Predrug,.081,<.0001
Ketamine,SIMPLE,Power,Alpha,Postdrug,.045,<.0001
Ketamine,SIMPLE,Power,Low‐beta,Postdrug,.046,.0007
Ketamine,SIMPLE,Power,High‐beta,Postdrug,.035,.0003
Ketamine,ICA‐only,Power,Alpha,Predrug,.070,<.0001
Ketamine,ICA‐only,Power,Low‐beta,Predrug,.060,<.0001
Ketamine,ICA‐only,Power,Alpha,Postdrug,.043,<.0001
Ketamine,ICA‐only,Power,High‐beta,Postdrug,.023,.0003
Ketamine,ICA‐only,Phase,Delta,Postdrug,−.025,.0009
Midazolam,SIMPLE,Power,Alpha,Predrug,.11,<.0001
Midazolam,SIMPLE,Power,Low‐beta,Predrug,.084,<.0001
Midazolam,SIMPLE,Power,Theta,Postdrug,.070,<.0001
Midazolam,SIMPLE,Power,Alpha,Postdrug,.11,<.0001
Midazolam,SIMPLE,Power,Low‐beta,Postdrug,.14,<.0001
Midazolam,ICA‐only,Power,Alpha,Predrug,.085,<.0001
Midazolam,ICA‐only,Power,Low‐beta,Predrug,.065,<.0001
Midazolam,ICA‐only,Power,Theta,Postdrug,.049,<.0001
Midazolam,ICA‐only,Power,Alpha,Postdrug,.073,<.0001
Midazolam,ICA‐only,Power,Low‐beta,Postdrug,.11,<.0001
Placebo,SIMPLE,Power,Alpha,Predrug,.11,<.0001
Placebo,SIMPLE,Power,Low‐beta,Predrug,.086,<.0001
Placebo,SIMPLE,Power,Alpha,Postdrug,.10,<.0001
Placebo,SIMPLE,Power,Low‐beta,Postdrug,.12,<.0001
Placebo,ICA‐only,Power,Alpha,Predrug,.089,<.0001
Placebo,ICA‐only,Power,Low‐beta,Predrug,.075,<.0001
Placebo,ICA‐only,Power,Theta,Postdrug,.034,.0011
Placebo,ICA‐only,Power,Alpha,Postdrug,.079,<.0001
Placebo,ICA‐only,Power,Low‐beta,Postdrug,.085,<.0001
Placebo,SIMPLE,Phase,Delta,Predrug,−.024,.0004
Placebo,SIMPLE,Phase,Alpha,Predrug,.037,.0002
Placebo,ICA‐only,Phase,Alpha,Predrug,.032,.0003
Placebo,ICA‐only,Phase,Low‐beta,Postdrug,.025,.0001
