Questionnaire,Dimension,Group,T0,T2,T4,T6
STAI,State anxiety,Intervention,33.3 ± 6.7,31.3 ± 5.9,32.1 ± 8.5,29.5 ± 5.4
,State anxiety,Control,35.9 ± 7.3,31.6 ± 3.3,34.7 ± 5.0,32.2 ± 5.2
PANAS,Positive affect scale,Intervention,28.4 ± 6.4,27.1 ± 7.1,26.5 ± 7.4,30.1 ± 8.5
,Positive affect scale,Control,25.4 ± 6.9,27.6 ± 7.4,25.9 ± 5.7,26.9 ± 7.0
,Negative affect scale,Intervention,11.6 ± 1.6,10.9 ± 1.1,11.7 ± 2.5,10.8 ± 1.3
,Negative affect scale,Control,12.7 ± 3.3,11.3 ± 1.5,11.2 ± 1.7,11.2 ± 2.1
MoodMeter®,PEPS,Intervention,3.4 ± 0.8,3.6 ± 0.5,3.6 ± 0.5,3.7 ± 0.6
,,Control,3.1 ± 0.6,2.9 ± 0.4,3.1 ± 0.7,3.3 ± 0.7
,Physical energy,Intervention,3.9 ± 1.1,4.0 ± 0.9,3.9 ± 1.1,3.8 ± 1.1
,Physical energy,Control,4.0 ± 0.6,4.3 ± 0.7,4.0 ± 0.9,4.2 ± 0.7
,Physical fitness,Intervention,2.5 ± 1.1,2.8 ± 0.7,2.9 ± 0.9,3.0 ± 0.9
,Physical fitness,Control,2.0 ± 1.0,1.8 ± 0.9,2.3 ± 0.8,2.3 ± 1.2
,Physical health,Intervention,4.4 ± 0.6,4.4 ± 0.7,4.3 ± 0.8,4.5 ± 0.6
,Physical health,Control,4.0 ± 0.9,3.6 ± 1.0,3.8 ± 1.0,4.2 ± 1.0
,Physical flexibility,Intervention,2.9 ± 1.1,3.2 ± 0.7,3.2 ± 0.9,3.5 ± 0.7
,Physical flexibility,Control,2.3 ± 0.8,2.1 ± 1.0,2.4 ± 0.9,2.7 ± 0.9
,PSYCHO,Intervention,3.6 ± 1.1,3.8 ± 0.7,3.6 ± 1.0,3.7 ± 0.9
,,Control,3.6 ± 0.5,3.7 ± 1.0,3.5 ± 0.7,3.6 ± 0.8
,Positive mood,Intervention,3.6 ± 1.2,3.8 ± 1.1,3.6 ± 1.3,3.8 ± 1.1
,Positive mood,Control,3.2 ± 1.2,3.5 ± 0.9,3.2 ± 1.1,3.4 ± 0.9
,Calmness,Intervention,4.0 ± 0.9,4.3 ± 0.6,4.2 ± 0.8,4.2 ± 0.9
,Calmness,Control,3.7 ± 1.3,3.9 ± 0.9,3.6 ± 1.3,4.0 ± 1.0
,Recovery,Intervention,3.2 ± 1.4,3.3 ± 1.0,3.4 ± 1.2,3.4 ± 1.1
,Recovery,Control,3.4 ± 0.8,3.3 ± 1.3,3.2 ± 0.9,3.1 ± 1.1
,Relaxation,Intervention,3.6 ± 1.2,3.6 ± 1.1,3.4 ± 1.3,3.4 ± 1.4
,Relaxation,Control,4.1 ± 0.8,4.1 ± 1.2,3.8 ± 1.0,4.1 ± 0.9
,MOT,Intervention,3.3 ± 0.9,3.4 ± 0.7,3.3 ± 0.8,3.5 ± 0.7
,,Control,2.7 ± 0.9,2.7 ± 0.9,2.8 ± 0.6,2.9 ± 1.1
,Willingness to seek contact,Intervention,3.6 ± 0.8,3.4 ± 1.2,3.2 ± 0.9,3.4 ± 1.0
,Willingness to seek contact,Control,2.6 ± 1.3,2.7 ± 0.6,2.6 ± 0.6,2.7 ± 1.4
,Social acceptance,Intervention,3.5 ± 1.1,3.7 ± 0.8,3.5 ± 0.9,3.8 ± 0.9
,Social acceptance,Control,3.1 ± 1.1,3.3 ± 1.3,3.1 ± 0.9,3.2 ± 1.5
,Readiness to strain,Intervention,2.9 ± 1.3,3.1 ± 0.9,3.0 ± 1.0,2.8 ± 1.1
,Readiness to strain,Control,2.4 ± 0.9,2.1 ± 1.2,2.6 ± 0.6,2.3 ± 1.0
,Self-confidence,Intervention,3.1 ± 0.9,3.4 ± 0.8,3.5 ± 0.7,3.9 ± 0.7
,Self-confidence,Control,2.8 ± 0.9,2.6 ± 1.1,3.1 ± 1.1,3.6 ± 1.1
