Brain region,ER,BA,Brain region.1,ER.1,BA.1,f
Left medial superior frontal gyrus,1.0,8,Right inferior frontal gyrus,2,47,67
,,,Right precuneus,4,19,67
,,,Left superior parietal lobule,4,7,66
Right inferior parietal lobule,1.0,40,Right posterior cingulate,4,30,64
Left inferior parietal lobule,1.0,40,Right postcentral gyrus,4,2,64
,,,Right insula,1,13,64
Left middle frontal gyrus,1.0,6,Right amygdala,3,*,62
,,,Left inferior occipital gyrus,3,19,62
,,,Right posterior cingulate,4,30,61
Right middle frontal gyrus,1.0,11,Right amygdala,3,*,61
,,,Bilateral medial prefrontal cortex,3,10,61
Right insula,1.0,13,Bilateral medial prefrontal cortex,3,10,61
Right precuneus,1.0,7,Right posterior cingulate,4,30,66
Left inferior frontal gyrus,2.0,47,Bilateral medial prefrontal cortex,3,10,66
Left middle frontal gyrus,2.0,6,Left parahippocampal gyrus,3,27,66
Left superior frontal gyrus,2.0,9,Left cuneus,4,18,66
Left caudate,2.0,*,Right thalamus,3,*,66
Right amygdala,3.0,*,Left superior parietal lobule,4,7,65
Right thalamus,3.0,*,Left insula,4,13,65
Bilateral medial prefrontal cortex,3.0,10,Right posterior cingulate,4,30,65
Left insula,4.0,13,Right thalamus,4,*,64
