ID,Region description,AAL2,Lobe,Abbreviation
"1, 2",Precentral gyrus,Precentral,Sensorimotor,PreCG
"3, 4","Superior frontal gyrus, dorsolateral",Frontal_Sup,Frontal,SFG
"5, 6",Middle frontal gyrus,Frontal_Mid,Frontal,MFG
"7, 8","Inferior frontal gyrus, opercular part",Frontal_Inf_Oper,Frontal,IFGoperc
"9, 10","Inferior frontal gyrus, triangular part",Frontal_Inf_Tri,Frontal,IFGtriang
"11, 12",IFG pars orbitalis,Frontal_Inf_Orb,Frontal,IFGorb
"13, 14",Rolandic operculum,Rolandic_Oper,Frontal,ROL
"15, 16",Supplementary motor area,Supp_Motor_Area,Sensorimotor,SMA
"17, 18",Olfactory cortex,Olfactory,Frontal,OLF
"19, 20","Superior frontal gyrus, medial",Frontal_Sup_Med,Frontal,SFGmedial
"21, 22","Superior frontal gyrus, medial orbital",Frontal_Med_Orb,Frontal,PFCventmed
"23, 24",Gyrus rectus,Rectus,Frontal,REC
"25, 26",Medial orbital gyrus,OFCmed,Frontal,OFCmed
"27, 28",Anterior orbital gyrus,OFCant,Frontal,OFCant
"29, 30",Posterior orbital gyrus,OFCpost,Frontal,OFCpost
"31, 32",Lateral orbital gyrus,OFClat,Frontal,OFClat
"33, 34",Insula,Insula,Subcortical,INS
"35, 36",Anterior cingulate & paracingulate gyri,Cingulate_Ant,Frontal,ACC
"37, 38",Middle cingulate & paracingulate gyri,Cingulate_Mid,Frontal,MCC
"39, 40",Posterior cingulate gyrus,Cingulate_Post,Parietal,PCC
"41, 42",Hippocampus,Hippocampus,Temporal,HIP
"43, 44",Parahippocampal gyrus,ParaHippocampal,Temporal,PHG
"45, 46",Amygdala,Amygdala,Subcortical,AMYG
"47, 48",Calcarine fissure and surrounding cortex,Calcarine,Occipital,CAL
"49, 50",Cuneus,Cuneus,Occipital,CUN
"51, 52",Lingual gyrus,Lingual,Occipital,LING
"53, 54",Superior occipital gyrus,Occipital_Sup,Occipital,SOG
"55, 56",Middle occipital gyrus,Occipital_Mid,Occipital,MOG
"57, 58",Inferior occipital gyrus,Occipital_Inf,Occipital,IOG
"59, 60",Fusiform gyrus,Fusiform,Temporal,FFG
"61, 62",Postcentral gyrus,Postcentral,Sensorimotor,PoCG
"63, 64",Superior parietal gyrus,Parietal_Sup,Parietal,SPG
"65, 66","Inferior parietal gyrus, excluding supramarginal and angular gyri",Parietal_Inf,Parietal,IPG
"67, 68",SupraMarginal gyrus,SupraMarginal,Parietal,SMG
"69, 70",Angular gyrus,Angular,Parietal,ANG
"71, 72",Precuneus,Precuneus,Parietal,PCUN
"73, 74",Paracentral lobule,Paracentral_Lobule,Parietal,PCL
"75, 76",Caudate nucleus,Caudate,Subcortical,CAU
"77, 78","Lenticular nucleus, Putamen",Putamen,Subcortical,PUT
"79, 80","Lenticular nucleus, Pallidum",Pallidum,Subcortical,PAL
"81, 82",Thalamus,Thalamus,Subcortical,THA
"83, 84",Heschl’s gyrus,Heschl,Temporal,HES
"85, 86",Superior temporal gyrus,Temporal_Sup,Temporal,STG
"87, 88",Temporal pole: superior temporal gyrus,Temporal_Pole_Sup,Temporal,TPOsup
"89, 90",Middle temporal gyrus,Temporal_Mid,Temporal,MTG
"91, 92",Temporal pole: middle temporal gyrus,Temporal_Pole_Mid,Temporal,TPOmid
"93, 94",Inferior temporal gyrus,Temporal_Inf,Temporal,ITG
"95, 96",Cerebellum Crus I,Cerebelum_Crus1_L,Cerebellum,CRBLCrus1
"97, 98",Cerebellum Crus II,Cerebelum_Crus2_L,Cerebellum,CRBLCrus2
"99, 100","Cerebellum lobule III, hemisphere",Cerebelum_3_L,Cerebellum,CRBL3
"101, 102","Cerebellum lobule IV V, hemisphere",Cerebelum_4_5_L,Cerebellum,CRBL45
"103, 104","Cerebellum lobule VI, hemisphere",Cerebelum_6_L,Cerebellum,CRBL6
"105, 106","Cerebellum lobule VII b, hemisphere",Cerebelum_7b_L,Cerebellum,CRBL7b
"107, 108","Cerebellum lobule VIII, hemisphere",Cerebelum_8_L,Cerebellum,CRBL8
"109, 110","Cerebellum lobule IX, hemisphere",Cerebelum_9_L,Cerebellum,CRBL9
"111, 112","Cerebellum lobule X, hemisphere",Cerebelum_10_L,Cerebellum,CRBL10
113,"Cerebellum lobule I II, vermis",Vermis_1_2,Cerebellum,Vermis12
114,"Cerebellum lobule III, vermis",Vermis_3,Cerebellum,Vermis3
115,"Cerebellum lobule IV V, vermis",Vermis_4_5,Cerebellum,Vermis45
116,"Cerebellum lobule VI, vermis",Vermis_6,Cerebellum,Vermis6
117,"Cerebellum lobule VII b, vermis",Vermis_7,Cerebellum,Vermis7
118,"Cerebellum lobule VIII, vermis",Vermis_8,Cerebellum,Vermis8
119,"Cerebellum lobule IX, vermis",Vermis_9,Cerebellum,Vermis9
120,"Cerebellum lobule X, vermis",Vermis_10,Cerebellum,Vermis10
