Characteristic,Good outcome (n = 29),Poor outcome (n = 19),P-value
Age (year),56 (11),66 (11),<0.01*
Male,24 (83),13 (68),0.24
OHCA,29 (1 0 0),19 (100 %),
Shockable first rhythm,29 (1 0 0),14 (74),<0.01*
Duration of resuscitation (min),12 [10–15],23 [20–33],<0.01*
Absent pupillary light reflex ≥ 72 hr,0 (0),4 (21),<0.01*
Motor score ≤ 3 at 72 hr,1 (3),14 (74),<0.01*
Bilaterally absent SSEP response ≥ 72 hr,0 (0),4 (21),<0.01*
Time ROSC-MRI (hour),78 (24),77 (27),0.97
Comatose during MRI,10 (36 %),18 (95 %),<0.01*
"Treatment with sedatives during MRI (propofol, midazolam, dexmedetomidine)",10 (34 %),17 (89 %),<0.01*
"Treatment with opiates during MRI (morphine, sufentanil, remifentanil)",4 (14 %),5 (26 %),0.28
Survival till discharge from primary hospital,29 (1 0 0),4 (21),<0.01*
CPC score at 6 months,,,
- 1,13 (45),,
- 2,16 (55),,
- 3,,3 (16),
- 4,,0 (0),
- 5,,16 (84),
